date,leader,role,approve,disapprove,undecided,net,printings,agreeing,disputed,date_basis,label,first_issue,issues
1984-01-28,hawke,pm,72,16,12,56,8,8,0,printed,"Jan 21/28",1984-02-14,nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1503930672
1984-01-28,peacock,opposition,37,38,25,-1,7,7,0,printed,"Jan 21/28",1984-02-14,nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064
1984-02-11,hawke,pm,73,15,12,58,7,7,0,printed,"Feb 4/11",1984-02-28,nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776 nla.obj-1503930672
1984-02-11,peacock,opposition,39,38,23,1,7,7,0,printed,"Feb 4/11",1984-02-28,nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776
1984-02-25,hawke,pm,70,18,12,52,7,7,0,printed,"Feb 18/25",1984-03-13,nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776 nla.obj-1503930672
1984-02-25,peacock,opposition,36,38,26,-2,6,6,0,printed,"Feb 18/25",1984-03-13,nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776
1984-03-10,hawke,pm,74,16,10,58,7,7,0,printed,"March 3/10",1984-03-27,nla.obj-1315862696 nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776 nla.obj-1401756316 nla.obj-1503930672
1984-03-10,peacock,opposition,36,40,24,-4,6,6,0,printed,"March 3/10",1984-03-27,nla.obj-1315862696 nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776 nla.obj-1401756316
1984-03-24,hawke,pm,74,16,10,58,6,6,0,printed,"Mar 17/24",1984-04-24,nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776 nla.obj-1324419966 nla.obj-1503930672
1984-03-24,peacock,opposition,34,43,23,-9,4,4,0,printed,"Mar 17/24",1984-04-24,nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776
1984-04-07,hawke,pm,75,15,10,60,6,6,0,printed,"Mar 31/Apr 7",1984-04-24,nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776 nla.obj-1401756316 nla.obj-1503930672
1984-04-07,peacock,opposition,33,45,22,-12,4,4,0,printed,"Mar 31/Apr 7",1984-04-24,nla.obj-1323584871 nla.obj-1323663064 nla.obj-1323778776 nla.obj-1401756316
1984-04-17,peacock,opposition,33,45,22,-12,2,2,0,printed,"Mar 31/Apr 17",1984-05-08,nla.obj-1323604032 nla.obj-1324419966
1984-04-21,hawke,pm,75,16,9,59,5,5,0,printed,"Apr 14/21",1984-05-08,nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776 nla.obj-1401756316 nla.obj-1503930672
1984-04-21,peacock,opposition,37,43,20,-6,5,5,0,printed,"Apr 14/21",1984-05-08,nla.obj-1323604032 nla.obj-1323663064 nla.obj-1323778776 nla.obj-1324419966 nla.obj-1401756316
1984-05-05,hawke,pm,72,18,10,54,4,4,0,printed,"April 28/May 5",1984-05-22,nla.obj-1323663064 nla.obj-1323778776 nla.obj-1401756316 nla.obj-1503930672
1984-05-05,peacock,opposition,35,45,20,-10,4,4,0,printed,"April 28/May 5",1984-05-22,nla.obj-1323663064 nla.obj-1323778776 nla.obj-1324419966 nla.obj-1401756316
1984-05-19,hawke,pm,71,17,12,54,5,5,0,printed,"May 12/19",1984-06-05,nla.obj-1323778776 nla.obj-1401756316 nla.obj-1503930672 nla.obj-1504189789 nla.obj-1504841560
1984-05-19,peacock,opposition,36,41,23,-5,5,5,0,printed,"May 12/19",1984-06-05,nla.obj-1323778776 nla.obj-1324419966 nla.obj-1401756316 nla.obj-1504189789 nla.obj-1504841560
1984-06-02,hawke,pm,68,20,12,48,4,4,0,printed,"May 26/June 2",1984-07-03,nla.obj-1401756316 nla.obj-1503930672 nla.obj-1504189789 nla.obj-1504841560
1984-06-02,peacock,opposition,37,43,20,-6,4,4,0,printed,"May 26/June 2",1984-06-19,nla.obj-1324419966 nla.obj-1401756316 nla.obj-1504189789 nla.obj-1504841560
1984-06-16,hawke,pm,69,19,12,50,7,7,0,printed,"June 9/16",1984-07-03,nla.obj-1401756316 nla.obj-1503930672 nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1505163419
1984-06-16,peacock,opposition,31,45,24,-14,5,5,0,printed,"June 9/16",1984-07-03,nla.obj-1401756316 nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504841560 nla.obj-1505163419
1984-06-30,hawke,pm,67,20,13,47,6,6,0,printed,"June 23/30",1984-07-17,nla.obj-1503930672 nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1505163419
1984-06-30,peacock,opposition,34,44,22,-10,5,5,0,printed,"June 23/30",1984-08-28,nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1505163419
