slug,kind,first_capture,wayback_url
galaxy-130324.pdf,ghostwhovotes,20180112214920,https://web.archive.org/web/20180112214920id_/https://ghostwhovotes.files.wordpress.com/2013/03/galaxy-130324.pdf
galaxy-130414.pdf,ghostwhovotes,20130419002347,https://web.archive.org/web/20130419002347id_/http://ghostwhovotes.files.wordpress.com:80/2013/04/galaxy-130414.pdf
galaxy-130518.pdf,ghostwhovotes,20160312105351,https://web.archive.org/web/20160312105351id_/https://ghostwhovotes.files.wordpress.com/2013/05/galaxy-130518.pdf
galaxy-130616.pdf,ghostwhovotes,20160313061401,https://web.archive.org/web/20160313061401id_/https://ghostwhovotes.files.wordpress.com/2013/06/galaxy-130616.pdf
galaxy-130630.pdf,ghostwhovotes,20180112214900,https://web.archive.org/web/20180112214900id_/https://ghostwhovotes.files.wordpress.com/2013/06/galaxy-130630.pdf
galaxy-130728.jpg,ghostwhovotes,20160301212648,https://web.archive.org/web/20160301212648id_/https://ghostwhovotes.files.wordpress.com/2013/07/galaxy-130728.jpg
galaxy-130818.pdf,ghostwhovotes,20160313043216,https://web.archive.org/web/20160313043216id_/https://ghostwhovotes.files.wordpress.com/2013/08/galaxy-130818.pdf
galaxy-130906.jpg,ghostwhovotes,20140721072049,https://web.archive.org/web/20140721072049id_/http://ghostwhovotes.files.wordpress.com/2013/09/galaxy-130906.jpg
newspoll-14-february,newspoll,20180314143901,https://web.archive.org/web/20180314143901id_/http://www.galaxyresearch.com.au/newspoll-14-february/
newspoll-1619-july,newspoll,20160229065804,https://web.archive.org/web/20160229065804id_/http://www.galaxyresearch.com.au/newspoll-1619-july/
newspoll-2-5-february,newspoll,20170517191455,https://web.archive.org/web/20170517191455id_/http://www.galaxyresearch.com.au:80/newspoll-2-5-february/
newspoll-2-5-july-2015,newspoll,20160229065810,https://web.archive.org/web/20160229065810id_/http://www.galaxyresearch.com.au/newspoll-2-5-july-2015/
newspoll-30-march-2-april,newspoll,20170518172411,https://web.archive.org/web/20170518172411id_/http://www.galaxyresearch.com.au:80/newspoll-30-march-2-april/
newspoll-8-11-oct,newspoll,20160121045303,https://web.archive.org/web/20160121045303id_/http://www.galaxyresearch.com.au/newspoll-8-11-oct/
newspoll-912-november,newspoll,20180314145058,https://web.archive.org/web/20180314145058id_/http://www.galaxyresearch.com.au/newspoll-912-november/
newspoll-april-1417,newspoll,20160619005650,https://web.archive.org/web/20160619005650id_/http://www.galaxyresearch.com.au:80/newspoll-april-1417/
newspoll-april-20-23,newspoll,20180314154139,https://web.archive.org/web/20180314154139id_/http://www.galaxyresearch.com.au/newspoll-april-20-23/
newspoll-august-17-20,newspoll,20180314153007,https://web.archive.org/web/20180314153007id_/http://www.galaxyresearch.com.au/newspoll-august-17-20/
newspoll-august-20-23,newspoll,20160119203345,https://web.archive.org/web/20160119203345id_/http://www.galaxyresearch.com.au/newspoll-august-20-23/
newspoll-august-25-28,newspoll,20170218104534,https://web.archive.org/web/20170218104534id_/http://www.galaxyresearch.com.au/newspoll-august-25-28/
newspoll-august-3-6,newspoll,20180314153020,https://web.archive.org/web/20180314153020id_/http://www.galaxyresearch.com.au/newspoll-august-3-6/
newspoll-august-31-september-3,newspoll,20180314152948,https://web.archive.org/web/20180314152948id_/http://www.galaxyresearch.com.au/newspoll-august-31-september-3/
newspoll-august-6-9,newspoll,20160201124332,https://web.archive.org/web/20160201124332id_/http://www.galaxyresearch.com.au/newspoll-august-6-9/
newspoll-december-1-4,newspoll,20170218104436,https://web.archive.org/web/20170218104436id_/http://www.galaxyresearch.com.au/newspoll-december-1-4/
newspoll-february-2017,newspoll,20170518172605,https://web.archive.org/web/20170518172605id_/http://www.galaxyresearch.com.au:80/newspoll-february-2017/
