id,date,masthead,title,page,words,pollster,url
137170605,1992-08-08,The Canberra Times (ACT : 1926 - 1995),Youth-jobs policies: both sides miss boat POOL WATCH,2,363,Saulwick,https://trove.nla.gov.au/newspaper/article/137170605
137171832,1992-08-10,The Canberra Times (ACT : 1926 - 1995),Poll shows Coalition would top federal vote,2,341,Morgan,https://trove.nla.gov.au/newspaper/article/137171832
137172156,1992-08-11,The Canberra Times (ACT : 1926 - 1995),"More men than women approve of PM, Hewson: polls",4,577,Morgan,https://trove.nla.gov.au/newspaper/article/137172156
137173573,1992-08-17,The Canberra Times (ACT : 1926 - 1995),Landslide forecast,3,91,Morgan,https://trove.nla.gov.au/newspaper/article/137173573
137174767,1992-08-22,The Canberra Times (ACT : 1926 - 1995),Polls indicate Labor leaders in three states losing ground POLL WATCH,2,494,Morgan,https://trove.nla.gov.au/newspaper/article/137174767
137175205,1992-08-24,The Canberra Times (ACT : 1926 - 1995),ALP support 'lowest since Keating PM',1,257,Morgan,https://trove.nla.gov.au/newspaper/article/137175205
282061506,1992-08-31,"Hanho TÊ»aimzuÌ = Hanho Times (Sydney, NSW : 1985 - 1995)",The Sydney Morning Herald SAULWICK POLL The effect of the Budget,23,242,Saulwick,https://trove.nla.gov.au/newspaper/article/282061506
137177044,1992-08-31,The Canberra Times (ACT : 1926 - 1995),Boost to Goss and Qld ALP,3,111,Morgan,https://trove.nla.gov.au/newspaper/article/137177044
126940761,1992-09-05,The Canberra Times (ACT : 1926 - 1995),"Polls show Goss well ahead; Groom, Kennett support up POLL WATCH",2,465,Morgan,https://trove.nla.gov.au/newspaper/article/126940761
126941176,1992-09-07,The Canberra Times (ACT : 1926 - 1995),Budget help to ALP: poll,2,126,Morgan,https://trove.nla.gov.au/newspaper/article/126941176
126941386,1992-09-08,The Canberra Times (ACT : 1926 - 1995),Libs admit their transport plans mean job losses,4,468,Morgan,https://trove.nla.gov.au/newspaper/article/126941386
126942655,1992-09-14,The Canberra Times (ACT : 1926 - 1995),Fahey lifts his party's rating,2,83,Morgan,https://trove.nla.gov.au/newspaper/article/126942655
126943959,1992-09-20,The Canberra Times (ACT : 1926 - 1995),"Plea will backfire, Kennett predicts",3,375,Saulwick,https://trove.nla.gov.au/newspaper/article/126943959
126944215,1992-09-21,The Canberra Times (ACT : 1926 - 1995),PM's approval still high: poll,2,253,Morgan,https://trove.nla.gov.au/newspaper/article/126944215
126945240,1992-09-26,The Canberra Times (ACT : 1926 - 1995),Poll points to Coalition victory POLL WATCH,2,348,Saulwick,https://trove.nla.gov.au/newspaper/article/126945240
126946935,1992-10-04,The Canberra Times (ACT : 1926 - 1995),SUPPORT UP: POLL,7,100,Saulwick,https://trove.nla.gov.au/newspaper/article/126946935
126948633,1992-10-12,The Canberra Times (ACT : 1926 - 1995),Principals give VCE good marks,13,301,Saulwick,https://trove.nla.gov.au/newspaper/article/126948633
126949470,1992-10-17,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Coalition makes gains on all main issues,2,361,Newspoll,https://trove.nla.gov.au/newspaper/article/126949470
126953979,1992-11-07,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Keating tops Hewson,2,301,Saulwick,https://trove.nla.gov.au/newspaper/article/126953979
126955830,1992-11-16,The Canberra Times (ACT : 1926 - 1995),Bishop questions 'sale' of Fightback tax package,2,663,Newspoll,https://trove.nla.gov.au/newspaper/article/126955830
126956855,1992-11-21,The Canberra Times (ACT : 1926 - 1995),ALP would have won Nov poll POLL WATCH,2,375,Newspoll,https://trove.nla.gov.au/newspaper/article/126956855
126957508,1992-11-24,The Canberra Times (ACT : 1926 - 1995),Advertising,7,231,Morgan,https://trove.nla.gov.au/newspaper/article/126957508
126957786,1992-11-25,The Canberra Times (ACT : 1926 - 1995),PERSPECTIVE MIDWEEK NEWS MAGAZINE SCIENCE EDUCATION MEDICINE ARTS RELIGION LAW | ACT's unresolved legal poser | Problems raised by pre-trial publicity are discussed by Rod Campbell in the wake of the recent Bush case. LAW,21,2362,Saulwick,https://trove.nla.gov.au/newspaper/article/126957786
126958334,1992-11-28,The Canberra Times (ACT : 1926 - 1995),Keating preferred as PM; Hewson hits new low POLL WATCH,2,293,Newspoll,https://trove.nla.gov.au/newspaper/article/126958334
126961780,1992-12-12,The Canberra Times (ACT : 1926 - 1995),Labor seven points ahead POLL WATCH,2,398,Newspoll,https://trove.nla.gov.au/newspaper/article/126961780
126963602,1992-12-19,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Labor holds poll lead in both houses,5,289,AGB McNair,https://trove.nla.gov.au/newspaper/article/126963602
126964103,1992-12-21,The Canberra Times (ACT : 1926 - 1995),Consumers are not optimistic about the year ahead: poll,3,367,Morgan,https://trove.nla.gov.au/newspaper/article/126964103
126964950,1992-12-26,The Canberra Times (ACT : 1926 - 1995),Coalition gaining ground POLL WATCH,2,417,Newspoll,https://trove.nla.gov.au/newspaper/article/126964950
126965488,1992-12-28,The Canberra Times (ACT : 1926 - 1995),Unemployment fears hang over workforce,3,198,Morgan,https://trove.nla.gov.au/newspaper/article/126965488
126967352,1993-01-06,The Canberra Times (ACT : 1926 - 1995),Poll shows the NSW Coalition edging ahead of Labor,2,400,Morgan,https://trove.nla.gov.au/newspaper/article/126967352
126967958,1993-01-09,The Canberra Times (ACT : 1926 - 1995),Coalition gains ground POLL WATCH,2,257,AGB McNair,https://trove.nla.gov.au/newspaper/article/126967958
126968121,1993-01-09,The Canberra Times (ACT : 1926 - 1995),Wages of sin keep flowing into coffers of love,20,889,Saulwick,https://trove.nla.gov.au/newspaper/article/126968121
126970231,1993-01-19,The Canberra Times (ACT : 1926 - 1995),"Labor, Libs are equal favourites",2,189,AGB McNair,https://trove.nla.gov.au/newspaper/article/126970231
126971123,1993-01-23,The Canberra Times (ACT : 1926 - 1995),Polls show Labor is doing it tough,2,253,AGB McNair,https://trove.nla.gov.au/newspaper/article/126971123
126971534,1993-01-25,The Canberra Times (ACT : 1926 - 1995),Pollsters say ALP would have won,1,444,Morgan,https://trove.nla.gov.au/newspaper/article/126971534
126972749,1993-01-30,The Canberra Times (ACT : 1926 - 1995),Surveys show holiday volatility,2,337,Newspoll,https://trove.nla.gov.au/newspaper/article/126972749
126973231,1993-02-01,The Canberra Times (ACT : 1926 - 1995),ALP stretches lead and people choose Keating,2,238,AGB McNair,https://trove.nla.gov.au/newspaper/article/126973231
126974207,1993-02-06,The Canberra Times (ACT : 1926 - 1995),Polls fail to recognise clear leader POLL WATCH,2,221,Saulwick,https://trove.nla.gov.au/newspaper/article/126974207
126975819,1993-02-13,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Coalition 'five points ahead',5,224,Newspoll,https://trove.nla.gov.au/newspaper/article/126975819
126975842,1993-02-13,The Canberra Times (ACT : 1926 - 1995),No false optimism for leader,5,269,Saulwick,https://trove.nla.gov.au/newspaper/article/126975842
126976907,1993-02-18,The Canberra Times (ACT : 1926 - 1995),THE POLLS,5,161,Newspoll,https://trove.nla.gov.au/newspaper/article/126976907
126977061,1993-02-19,The Canberra Times (ACT : 1926 - 1995),Keating and Kelty talk cash,5,444,Saulwick,https://trove.nla.gov.au/newspaper/article/126977061
126977063,1993-02-19,The Canberra Times (ACT : 1926 - 1995),THE POLLS,5,25,Newspoll,https://trove.nla.gov.au/newspaper/article/126977063
126977346,1993-02-20,The Canberra Times (ACT : 1926 - 1995),THE POLLS,5,269,AGB McNair,https://trove.nla.gov.au/newspaper/article/126977346
127199003,1993-03-02,The Canberra Times (ACT : 1926 - 1995),Full employment and no spending commitments in Liberal launch Hewson takes up GST fight,1,1467,Newspoll,https://trove.nla.gov.au/newspaper/article/127199003
127199997,1993-03-06,The Canberra Times (ACT : 1926 - 1995),POLLS,5,207,Saulwick,https://trove.nla.gov.au/newspaper/article/127199997
127200538,1993-03-08,The Canberra Times (ACT : 1926 - 1995),The Canberra Times Silly attempt at news management,10,1015,Morgan,https://trove.nla.gov.au/newspaper/article/127200538
127200877,1993-03-10,The Canberra Times (ACT : 1926 - 1995),ELECTION COUNTDOWN POLLS | Labor talks about life in Opposition,5,863,Newspoll,https://trove.nla.gov.au/newspaper/article/127200877
127201301,1993-03-12,The Canberra Times (ACT : 1926 - 1995),POLLS,5,189,Newspoll,https://trove.nla.gov.au/newspaper/article/127201301
127202251,1993-03-16,The Canberra Times (ACT : 1926 - 1995),Women put their faith in Keating,8,799,AGB McNair,https://trove.nla.gov.au/newspaper/article/127202251
127203077,1993-03-20,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Voters decided before the campaign began,2,275,AGB McNair,https://trove.nla.gov.au/newspaper/article/127203077
127203699,1993-03-23,The Canberra Times (ACT : 1926 - 1995),Lib machine adds sting on ballot eve,1,737,AGB McNair,https://trove.nla.gov.au/newspaper/article/127203699
127204689,1993-03-27,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Keating's approval rate peaks at 42pc,2,490,Newspoll,https://trove.nla.gov.au/newspaper/article/127204689
127205190,1993-03-29,The Canberra Times (ACT : 1926 - 1995),Activists appeal against Sydney wharf project,4,378,Morgan,https://trove.nla.gov.au/newspaper/article/127205190
127205554,1993-03-31,The Canberra Times (ACT : 1926 - 1995),Keating support up since poll,2,354,AGB McNair,https://trove.nla.gov.au/newspaper/article/127205554
126979577,1993-04-02,The Canberra Times (ACT : 1926 - 1995),The Canberra Times Hewson abysmal on GST and republic,10,1113,Saulwick,https://trove.nla.gov.au/newspaper/article/126979577
126979406,1993-04-02,The Canberra Times (ACT : 1926 - 1995),"Young Libs, Nationals push for Coalition to take up republican debate Screws turned on Hewson",1,1034,Saulwick,https://trove.nla.gov.au/newspaper/article/126979406
126981714,1993-04-12,The Canberra Times (ACT : 1926 - 1995),SA independents benefit from swing against Labor POLL WATCH,3,686,Morgan,https://trove.nla.gov.au/newspaper/article/126981714
126982731,1993-04-17,The Canberra Times (ACT : 1926 - 1995),Labor keeps top spot in the polls POLL WATCH,2,422,AGB McNair,https://trove.nla.gov.au/newspaper/article/126982731
126983223,1993-04-19,The Canberra Times (ACT : 1926 - 1995),More Aussies are now in favour of a republic,3,164,Morgan,https://trove.nla.gov.au/newspaper/article/126983223
126983501,1993-04-21,The Canberra Times (ACT : 1926 - 1995),NSW Labor leads by 11pc,20,209,AGB McNair,https://trove.nla.gov.au/newspaper/article/126983501
126984220,1993-04-24,The Canberra Times (ACT : 1926 - 1995),Gap wider between federal parties,2,179,Newspoll,https://trove.nla.gov.au/newspaper/article/126984220
126984726,1993-04-26,The Canberra Times (ACT : 1926 - 1995),Hopes higher but sackings likely: survey,3,835,Morgan,https://trove.nla.gov.au/newspaper/article/126984726
126985225,1993-04-28,The Canberra Times (ACT : 1926 - 1995),Government support is on the increase,4,274,AGB McNair,https://trove.nla.gov.au/newspaper/article/126985225
126985892,1993-05-01,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Coalition trailing Govt by even more,2,244,AGB McNair,https://trove.nla.gov.au/newspaper/article/126985892
