Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
Richmond,NSW,ALP,46.04,53.96,-2.38,2016,3.96,2.38
Riverina,NSW,NP,66.44,33.56,-2.55,2016,-16.44,2.55
Robertson,NSW,LP,51.14,48.86,-1.95,2016,-1.14,1.95
Ryan,QLD,LNP,59.09,40.91,0.55,2016,-9.09,-0.55
Scullin,VIC,ALP,32.72,67.28,-2.93,2016,17.28,2.93
Shortland,NSW,ALP,40.06,59.94,-2.54,2016,9.94,2.54
Solomon,NT,ALP,44,56,-7.4,2016,6,7.4
Stirling,WA,LP,56.12,43.88,-2.85,2016,-6.12,2.85
Sturt,SA,LP,55.89,44.11,-4.19,2016,-5.89,4.19
Swan,WA,LP,53.59,46.41,-3.75,2016,-3.59,3.75
Sydney,NSW,ALP,34.69,65.31,-2.44,2016,15.31,2.44
Tangney,WA,LP,61.07,38.93,-1.95,2016,-11.07,1.95
Spence (fmr Wakefield),SA,ALP,39.03,60.97,-7.57,2016,10.97,7.57
Wannon,VIC,LP,58.96,41.04,-1.11,2016,-8.96,1.11
Warringah,NSW,LP,61.09,38.91,-4.23,2016,-11.09,4.23
Watson,NSW,ALP,32.42,67.58,-8.76,2016,17.58,8.76
Wentworth,NSW,LP,67.75,32.25,-1.17,2016,-17.75,1.17
Werriwa,NSW,ALP,41.8,58.2,-1.67,2016,8.2,1.67
Whitlam,NSW,ALP,36.28,63.72,-6.81,2016,13.72,6.81
Wide Bay,QLD,LNP,58.14,41.86,-5.02,2016,-8.14,5.02
Wills,VIC,ALP,28.77,71.23,-0.47,2016,21.23,0.47
Wright,QLD,LNP,59.62,40.38,-2.22,2016,-9.62,2.22
Adelaide,SA,ALP,41.82,58.18,0.12,2019,8.18,-0.12
Aston,VIC,LP,60.13,39.87,2.72,2019,-10.13,-2.72
Ballarat,VIC,ALP,39.02,60.98,-3.62,2019,10.98,3.62
Banks,NSW,LP,56.26,43.74,4.82,2019,-6.26,-4.82
Barker,SA,LP,68.94,31.06,5.07,2019,-18.94,-5.07
Barton,NSW,ALP,40.59,59.41,-1.11,2019,9.41,1.11
Bass,TAS,LP,50.41,49.59,5.83,2019,-0.41,-5.83
Bean,ACT,ALP,42.48,57.52,1.33,2019,7.52,-1.33
Bendigo,VIC,ALP,40.96,59.04,-5.17,2019,9.04,5.17
Bennelong,NSW,LP,56.91,43.09,-2.81,2019,-6.91,2.81
Berowra,NSW,LP,65.65,34.35,-0.8,2019,-15.65,0.8
Blair,QLD,ALP,48.79,51.21,6.93,2019,1.21,-6.93
Blaxland,NSW,ALP,35.28,64.72,4.76,2019,14.72,-4.76
Bonner,QLD,LNP,57.41,42.59,4.02,2019,-7.41,-4.02
Boothby,SA,LP,51.38,48.62,-1.33,2019,-1.38,1.33
Bowman,QLD,LNP,60.24,39.76,3.17,2019,-10.24,-3.17
Braddon,TAS,LP,53.09,46.91,4.82,2019,-3.09,-4.82
Bradfield,NSW,LP,66.56,33.44,-4.48,2019,-16.56,4.48
Brand,WA,ALP,43.34,56.66,4.77,2019,6.66,-4.77
Brisbane,QLD,LNP,54.92,45.08,-1.08,2019,-4.92,1.08
Bruce,VIC,ALP,35.85,64.15,-0.1,2019,14.15,0.1
Burt,WA,ALP,45.01,54.99,2.12,2019,4.99,-2.12
Calare,NSW,NP,63.29,36.71,1.48,2019,-13.29,-1.48
Calwell,VIC,ALP,31.2,68.8,0.93,2019,18.8,-0.93
Canberra,ACT,ALP,32.92,67.08,-4.14,2019,17.08,4.14
Canning,WA,LP,61.55,38.45,4.76,2019,-11.55,-4.76
Capricornia,QLD,LNP,62.35,37.65,11.72,2019,-12.35,-11.72
Casey,VIC,LP,54.64,45.36,0.1,2019,-4.64,-0.1
Chifley,NSW,ALP,37.63,62.37,6.82,2019,12.37,-6.82
Chisholm,VIC,LP,50.57,49.43,-2.34,2019,-0.57,2.34
Clark (fmr Denison),TAS,ALP,33.83,66.17,-0.84,2019,16.17,0.84
Cook,NSW,LP,69.02,30.98,3.63,2019,-19.02,-3.63
Cooper (fmr Batman),VIC,ALP,23.68,76.32,-4.23,2019,26.32,4.23
Corangamite,VIC,ALP,48.93,51.07,-1.04,2019,1.07,1.04
Corio,VIC,ALP,39.68,60.32,-2.12,2019,10.32,2.12
Cowan,WA,ALP,49.17,50.83,-0.15,2019,0.83,0.15
Cowper,NSW,NP,61.88,38.12,-0.7,2019,-11.88,0.7
Cunningham,NSW,ALP,36.59,63.41,-0.09,2019,13.41,0.09
Curtin,WA,LP,64.33,35.67,-6.37,2019,-14.33,6.37
Dawson,QLD,LNP,64.61,35.39,11.24,2019,-14.61,-11.24
Deakin,VIC,LP,54.78,45.22,-1.66,2019,-4.78,1.66
Dickson,QLD,LNP,54.64,45.36,2.95,2019,-4.64,-2.95
Dobell,NSW,ALP,48.5,51.5,3.31,2019,1.5,-3.31
Dunkley,VIC,ALP,47.26,52.74,-1.71,2019,2.74,1.71
Durack,WA,LP,64.76,35.24,3.7,2019,-14.76,-3.7
Eden-Monaro,NSW,ALP,49.15,50.85,2.08,2019,0.85,-2.08
Fadden,QLD,LNP,64.18,35.82,2.94,2019,-14.18,-2.94
Fairfax,QLD,LNP,63.44,36.56,2.57,2019,-13.44,-2.57
Farrer,NSW,LP,69.83,30.17,-0.7,2019,-19.83,0.7
Fenner,ACT,ALP,39.44,60.56,1.28,2019,10.56,-1.28
Fisher,QLD,LNP,62.7,37.3,3.55,2019,-12.7,-3.55
Flinders,VIC,LP,55.64,44.36,-1.37,2019,-5.64,1.37
Flynn,QLD,LNP,58.66,41.34,7.62,2019,-8.66,-7.62
Forde,QLD,LNP,58.6,41.4,7.97,2019,-8.6,-7.97
Forrest,WA,LP,64.56,35.44,2,2019,-14.56,-2
Fowler,NSW,ALP,36.01,63.99,3.5,2019,13.99,-3.5
Franklin,TAS,ALP,37.79,62.21,-1.48,2019,12.21,1.48
Fraser,VIC,ALP,35.82,64.18,5.61,2019,14.18,-5.61
Fremantle,WA,ALP,43.08,56.92,0.6,2019,6.92,-0.6
Gellibrand,VIC,ALP,35.17,64.83,0.29,2019,14.83,-0.29
Gilmore,NSW,ALP,47.39,52.61,-3.34,2019,2.61,3.34
Gippsland,VIC,NP,66.67,33.33,-1.54,2019,-16.67,1.54
Goldstein,VIC,LP,57.79,42.21,-4.89,2019,-7.79,4.89
Gorton,VIC,ALP,34.64,65.36,3.13,2019,15.36,-3.13
Grayndler,NSW,ALP,26.17,73.83,-1.47,2019,23.83,1.47
Greenway,NSW,ALP,47.2,52.8,3.51,2019,2.8,-3.51
Grey,SA,LP,63.32,36.68,5.57,2019,-13.32,-5.57
Griffith,QLD,ALP,47.14,52.86,-1.43,2019,2.86,1.43
Groom,QLD,LNP,70.48,29.52,5.17,2019,-20.48,-5.17
Hasluck,WA,LP,55.39,44.61,3.34,2019,-5.39,-3.34
Herbert,QLD,LNP,58.36,41.64,8.38,2019,-8.36,-8.38
Higgins,VIC,LP,53.88,46.12,-6.09,2019,-3.88,6.09
Hindmarsh,SA,ALP,43.46,56.54,1.89,2019,6.54,-1.89
Hinkler,QLD,LNP,64.5,35.5,6.12,2019,-14.5,-6.12
Holt,VIC,ALP,41.3,58.7,1.24,2019,8.7,-1.24
Hotham,VIC,ALP,44.09,55.91,-1.7,2019,5.91,1.7
Hughes,NSW,LP,59.85,40.15,0.52,2019,-9.85,-0.52
Hume,NSW,LP,62.99,37.01,2.81,2019,-12.99,-2.81
Hunter,NSW,ALP,47.02,52.98,9.48,2019,2.98,-9.48
Indi,VIC,LP,62.73,37.27,7.72,2019,-12.73,-7.72
Isaacs,VIC,ALP,43.57,56.43,-3.45,2019,6.43,3.45
Jagajaga,VIC,ALP,43.43,56.57,-0.97,2019,6.57,0.97
Kennedy,QLD,LNP,64.51,35.49,7.77,2019,-14.51,-7.77
Kingsford Smith,NSW,ALP,41.19,58.81,-0.24,2019,8.81,0.24
Kingston,SA,ALP,38.06,61.94,1.61,2019,11.94,-1.61
Kooyong,VIC,LP,56.68,43.32,-6.14,2019,-6.68,6.14
La Trobe,VIC,LP,54.49,45.51,1.27,2019,-4.49,-1.27
Lalor,VIC,ALP,37.59,62.41,1.78,2019,12.41,-1.78
Leichhardt,QLD,LNP,54.17,45.83,0.22,2019,-4.17,-0.22
Lilley,QLD,ALP,49.36,50.64,5.04,2019,0.64,-5.04
Lindsay,NSW,LP,55.04,44.96,6.15,2019,-5.04,-6.15
Lingiari,NT,ALP,44.54,55.46,2.73,2019,5.46,-2.73
Longman,QLD,LNP,53.28,46.72,4.07,2019,-3.28,-4.07
Lyne,NSW,NP,65.17,34.83,3.54,2019,-15.17,-3.54
Lyons,TAS,ALP,44.82,55.18,-1.35,2019,5.18,1.35
Macarthur,NSW,ALP,41.6,58.4,-0.07,2019,8.4,0.07
Mackellar,NSW,LP,63.22,36.78,-2.52,2019,-13.22,2.52
Macnamara (fmr Melbourne Ports),VIC,ALP,43.75,56.25,-5.04,2019,6.25,5.04
Macquarie,NSW,ALP,49.81,50.19,2,2019,0.19,-2
Makin,SA,ALP,40.28,59.72,1.07,2019,9.72,-1.07
Mallee,VIC,NP,66.23,33.77,-3.57,2019,-16.23,3.57
Maranoa,QLD,LNP,75.42,24.58,7.88,2019,-25.42,-7.88
Maribyrnong,VIC,ALP,38.8,61.2,-0.8,2019,11.2,0.8
Mayo,SA,LP,52.54,47.46,-0.73,2019,-2.54,0.73
McEwen,VIC,ALP,44.98,55.02,0.98,2019,5.02,-0.98
McMahon,NSW,ALP,43.36,56.64,5.47,2019,6.64,-5.47
McPherson,QLD,LNP,62.2,37.8,0.56,2019,-12.2,-0.56
Melbourne,VIC,ALP,32.94,67.06,-0.06,2019,17.06,0.06
Menzies,VIC,LP,57.53,42.47,-0.28,2019,-7.53,0.28
Mitchell,NSW,LP,68.63,31.37,0.81,2019,-18.63,-0.81
Monash (fmr McMillan),VIC,LP,57.36,42.64,-0.15,2019,-7.36,0.15
Moncrieff,QLD,LNP,65.36,34.64,0.75,2019,-15.36,-0.75
Moore,WA,LP,61.65,38.35,0.63,2019,-11.65,-0.63
Moreton,QLD,ALP,48.1,51.9,2.12,2019,1.9,-2.12
New England,NSW,NP,67.63,32.37,1.21,2019,-17.63,-1.21
Newcastle,NSW,ALP,36.17,63.83,0.01,2019,13.83,-0.01
Nicholls (fmr Murray),VIC,NP,70.03,29.97,-2.49,2019,-20.03,2.49
North Sydney,NSW,LP,59.27,40.73,-4.34,2019,-9.27,4.34
O'Connor,WA,LP,64.48,35.52,-0.56,2019,-14.48,0.56
Oxley,QLD,ALP,43.61,56.39,2.62,2019,6.39,-2.62
Page,NSW,NP,59.45,40.55,7.15,2019,-9.45,-7.15
Parkes,NSW,NP,66.91,33.09,1.81,2019,-16.91,-1.81
Parramatta,NSW,ALP,46.5,53.5,4.17,2019,3.5,-4.17
Paterson,NSW,ALP,44.96,55.04,5.7,2019,5.04,-5.7
Pearce,WA,LP,57.52,42.48,3.89,2019,-7.52,-3.89
Perth,WA,ALP,45.07,54.93,-1.6,2019,4.93,1.6
Petrie,QLD,LNP,58.4,41.6,6.75,2019,-8.4,-6.75
Rankin,QLD,ALP,43.56,56.44,4.86,2019,6.44,-4.86
Reid,NSW,LP,53.18,46.82,-1.51,2019,-3.18,1.51
Richmond,NSW,ALP,45.92,54.08,-0.12,2019,4.08,0.12
Riverina,NSW,NP,69.48,30.52,3.04,2019,-19.48,-3.04
Robertson,NSW,LP,54.24,45.76,3.1,2019,-4.24,-3.1
Ryan,QLD,LNP,56.03,43.97,-2.95,2019,-6.03,2.95
Scullin,VIC,ALP,28.34,71.66,-2.08,2019,21.66,2.08
Shortland,NSW,ALP,45.55,54.45,5.49,2019,4.45,-5.49
Solomon,NT,ALP,46.92,53.08,3.01,2019,3.08,-3.01
Spence (fmr Wakefield),SA,ALP,35.87,64.13,3.04,2019,14.13,-3.04
Stirling,WA,LP,55.65,44.35,-0.47,2019,-5.65,0.47
Sturt,SA,LP,56.87,43.13,1.48,2019,-6.87,-1.48
Swan,WA,LP,52.69,47.31,-0.9,2019,-2.69,0.9
Sydney,NSW,ALP,31.33,68.67,-3.36,2019,18.67,3.36
Tangney,WA,LP,61.47,38.53,0.4,2019,-11.47,-0.4
Wannon,VIC,LP,60.38,39.62,1.23,2019,-10.38,-1.23
Warringah,NSW,LP,52.12,47.88,-8.97,2019,-2.12,8.97
Watson,NSW,ALP,36.48,63.52,4.06,2019,13.52,-4.06
Wentworth,NSW,LP,59.85,40.15,-7.9,2019,-9.85,7.9
Werriwa,NSW,ALP,44.53,55.47,2.73,2019,5.47,-2.73
Whitlam,NSW,ALP,39.09,60.91,39.09,2019,10.91,-39.09
Wide Bay,QLD,LNP,63.15,36.85,4.96,2019,-13.15,-4.96
Wills,VIC,ALP,24.15,75.85,-4.18,2019,25.85,4.18
Wright,QLD,LNP,64.58,35.42,4.96,2019,-14.58,-4.96
Adelaide,SA,ALP,38.09,61.91,-3.73,2022,11.91,3.73
Aston,VIC,LP,52.81,47.19,-7.32,2022,-2.81,7.32
Ballarat,VIC,ALP,37.03,62.97,-2.74,2022,12.97,2.74
Banks,NSW,LP,53.2,46.8,-3.06,2022,-3.2,3.06
Barker,SA,LP,66.62,33.38,-2.32,2022,-16.62,2.32
Barton,NSW,ALP,34.46,65.54,-6.13,2022,15.54,6.13
Bass,TAS,LP,51.43,48.57,1.02,2022,-1.43,-1.02
Bean,ACT,ALP,37.05,62.95,-5.43,2022,12.95,5.43
Bendigo,VIC,ALP,37.89,62.11,-3.26,2022,12.11,3.26
Bennelong,NSW,ALP,49.02,50.98,-7.89,2022,0.98,7.89
Berowra,NSW,LP,59.77,40.23,-5.88,2022,-9.77,5.88
Blair,QLD,ALP,44.77,55.23,-4.02,2022,5.23,4.02
Blaxland,NSW,ALP,35.06,64.94,-0.22,2022,14.94,0.22
Bonner,QLD,LNP,53.41,46.59,-4,2022,-3.41,4
Boothby,SA,ALP,46.72,53.28,-4.66,2022,3.28,4.66
Bowman,QLD,LNP,55.51,44.49,-4.73,2022,-5.51,4.73
Braddon,TAS,LP,58.03,41.97,4.94,2022,-8.03,-4.94
Bradfield,NSW,LP,56.55,43.45,-10.01,2022,-6.55,10.01
Brand,WA,ALP,33.29,66.71,-10.05,2022,16.71,10.05
Brisbane,QLD,ALP,45.6,54.4,-9.32,2022,4.4,9.32
Bruce,VIC,ALP,43.41,56.59,0.69,2022,6.59,-0.69
Burt,WA,ALP,34.79,65.21,-9.71,2022,15.21,9.71
Calare,NSW,NP,65.45,34.55,2.16,2022,-15.45,-2.16
Calwell,VIC,ALP,37.61,62.39,7.23,2022,12.39,-7.23
Canberra,ACT,ALP,27.54,72.46,-5.38,2022,22.46,5.38
Canning,WA,LP,53.59,46.41,-7.97,2022,-3.59,7.97
Capricornia,QLD,LNP,56.59,43.41,-5.76,2022,-6.59,5.76
Casey,VIC,LP,51.48,48.52,-3.14,2022,-1.48,3.14
Chifley,NSW,ALP,36.53,63.47,-1.1,2022,13.47,1.1
Chisholm,VIC,ALP,43.59,56.41,-6.86,2022,6.41,6.86
Clark (fmr Denison),TAS,ALP,32.76,67.24,-1.07,2022,17.24,1.07
Cook,NSW,LP,62.44,37.56,-6.58,2022,-12.44,6.58
Cooper (fmr Batman),VIC,ALP,24.54,75.46,0.75,2022,25.46,-0.75
Corangamite,VIC,ALP,42.4,57.6,-6.55,2022,7.6,6.55
Corio,VIC,ALP,37.16,62.84,-2.52,2022,12.84,2.52
Cowan,WA,ALP,39.18,60.82,-9.96,2022,10.82,9.96
Cowper,NSW,NP,59.47,40.53,-2.41,2022,-9.47,2.41
Cunningham,NSW,ALP,35.3,64.7,-1.29,2022,14.7,1.29
Curtin,WA,LP,55.6,44.4,-8.35,2022,-5.6,8.35
Dawson,QLD,LNP,60.42,39.58,-4.19,2022,-10.42,4.19
Deakin,VIC,LP,50.19,49.81,-4.5,2022,-0.19,4.5
Dickson,QLD,LNP,51.7,48.3,-2.94,2022,-1.7,2.94
Dobell,NSW,ALP,43.48,56.52,-5.02,2022,6.52,5.02
Dunkley,VIC,ALP,43.73,56.27,-3.53,2022,6.27,3.53
Durack,WA,LP,54.27,45.73,-9.22,2022,-4.27,9.22
Eden-Monaro,NSW,ALP,41.8,58.2,-7.35,2022,8.2,7.35
Fadden,QLD,LNP,60.63,39.37,-3.55,2022,-10.63,3.55
Fairfax,QLD,LNP,58.95,41.05,-4.49,2022,-8.95,4.49
Farrer,NSW,LP,66.35,33.65,-3.48,2022,-16.35,3.48
Fenner,ACT,ALP,34.31,65.69,-5.13,2022,15.69,5.13
Fisher,QLD,LNP,58.67,41.33,-4.03,2022,-8.67,4.03
Flinders,VIC,LP,56.7,43.3,1.06,2022,-6.7,-1.06
Flynn,QLD,LNP,53.82,46.18,-4.84,2022,-3.82,4.84
Forde,QLD,LNP,54.23,45.77,-4.37,2022,-4.23,4.37
Forrest,WA,LP,54.29,45.71,-10.29,2022,-4.29,10.29
Fowler,NSW,ALP,44.28,55.72,8.27,2022,5.72,-8.27
Franklin,TAS,ALP,36.3,63.7,-1.49,2022,13.7,1.49
Fraser,VIC,ALP,33.5,66.5,1.55,2022,16.5,-1.55
Fremantle,WA,ALP,33.11,66.89,-9.97,2022,16.89,9.97
Gellibrand,VIC,ALP,38.46,61.54,1.48,2022,11.54,-1.48
Gilmore,NSW,ALP,49.83,50.17,2.44,2022,0.17,-2.44
Gippsland,VIC,NP,70.57,29.43,3.9,2022,-20.57,-3.9
Goldstein,VIC,LP,54.8,45.2,-2.99,2022,-4.8,2.99
Gorton,VIC,ALP,40.03,59.97,4.27,2022,9.97,-4.27
Grayndler,NSW,ALP,21.15,78.85,-5.02,2022,28.85,5.02
Greenway,NSW,ALP,38.47,61.53,-8.73,2022,11.53,8.73
Grey,SA,LP,60.07,39.93,-3.25,2022,-10.07,3.25
Griffith,QLD,ALP,38.93,61.07,-8.21,2022,11.07,8.21
Groom,QLD,LNP,64.17,35.83,-6.31,2022,-14.17,6.31
Hasluck,WA,ALP,44,56,-11.89,2022,6,11.89
Hawke,VIC,ALP,42.37,57.63,2.59,2022,7.63,-2.59
Herbert,QLD,LNP,61.77,38.23,3.41,2022,-11.77,-3.41
Higgins,VIC,ALP,47.94,52.06,-4.67,2022,2.06,4.67
Hindmarsh,SA,ALP,41.05,58.95,-2.41,2022,8.95,2.41
Hinkler,QLD,LNP,60.07,39.93,-4.43,2022,-10.07,4.43
Holt,VIC,ALP,42.88,57.12,1.51,2022,7.12,-1.51
Hotham,VIC,ALP,35.75,64.25,-3.07,2022,14.25,3.07
Hughes,NSW,LP,57.01,42.99,-2.84,2022,-7.01,2.84
Hume,NSW,LP,57.72,42.28,-5.27,2022,-7.72,5.27
Hunter,NSW,ALP,45.97,54.03,-1.05,2022,4.03,1.05
Indi,VIC,LP,55.26,44.74,-7.47,2022,-5.26,7.47
Isaacs,VIC,ALP,43.15,56.85,-0.39,2022,6.85,0.39
Jagajaga,VIC,ALP,37.65,62.35,-6.46,2022,12.35,6.46
Kennedy,QLD,LNP,60.16,39.84,-4.35,2022,-10.16,4.35
Kingsford Smith,NSW,ALP,35.5,64.5,-5.69,2022,14.5,5.69
Kingston,SA,ALP,33.65,66.35,-4.41,2022,16.35,4.41
Kooyong,VIC,LP,54.18,45.82,-2.21,2022,-4.18,2.21
La Trobe,VIC,LP,58.69,41.31,3.56,2022,-8.69,-3.56
Lalor,VIC,ALP,37.18,62.82,-0.36,2022,12.82,0.36
Leichhardt,QLD,LNP,53.44,46.56,-0.73,2022,-3.44,0.73
Lilley,QLD,ALP,39.46,60.54,-9.9,2022,10.54,9.9
Lindsay,NSW,LP,56.34,43.66,1.3,2022,-6.34,-1.3
Lingiari,NT,ALP,49.05,50.95,4.51,2022,0.95,-4.51
Longman,QLD,LNP,53.08,46.92,-0.2,2022,-3.08,0.2
Lyne,NSW,NP,63.8,36.2,-1.37,2022,-13.8,1.37
Lyons,TAS,ALP,49.08,50.92,4.26,2022,0.92,-4.26
Macarthur,NSW,ALP,41.47,58.53,-0.13,2022,8.53,0.13
Mackellar,NSW,LP,58.6,41.4,-4.62,2022,-8.6,4.62
Macnamara,VIC,ALP,37.75,62.25,-7.34,2022,12.25,7.34
Macquarie,NSW,ALP,42.23,57.77,-7.58,2022,7.77,7.58
Makin,SA,ALP,39.2,60.8,-1.08,2022,10.8,1.08
Mallee,VIC,NP,68.99,31.01,3.31,2022,-18.99,-3.31
Maranoa,QLD,LNP,72.12,27.88,-3.3,2022,-22.12,3.3
Maribyrnong,VIC,ALP,37.55,62.45,-2.14,2022,12.45,2.14
Mayo,SA,ALP,48.41,51.59,-4.13,2022,1.59,4.13
McEwen,VIC,ALP,46.72,53.28,2,2022,3.28,-2
McMahon,NSW,ALP,40.51,59.49,-2.85,2022,9.49,2.85
McPherson,QLD,LNP,59.34,40.66,-2.86,2022,-9.34,2.86
Melbourne,VIC,ALP,22.09,77.91,-10.11,2022,27.91,10.11
Menzies,VIC,LP,50.68,49.32,-6.34,2022,-0.68,6.34
Mitchell,NSW,LP,60.69,39.31,-7.94,2022,-10.69,7.94
Monash (fmr McMillan),VIC,LP,52.9,47.1,-3.96,2022,-2.9,3.96
Moncrieff,QLD,LNP,61.19,38.81,-4.17,2022,-11.19,4.17
Moore,WA,LP,50.66,49.34,-10.96,2022,-0.66,10.96
Moreton,QLD,ALP,40.91,59.09,-7.19,2022,9.09,7.19
New England,NSW,NP,66.43,33.57,-1.2,2022,-16.43,1.2
Newcastle,NSW,ALP,32.02,67.98,-4.15,2022,17.98,4.15
Nicholls (fmr Murray),VIC,NP,67.15,32.85,-2.88,2022,-17.15,2.88
North Sydney,NSW,LP,51.26,48.74,-8.01,2022,-1.26,8.01
O'Connor,WA,LP,56.97,43.03,-8.44,2022,-6.97,8.44
Oxley,QLD,ALP,38.41,61.59,-5.2,2022,11.59,5.2
Page,NSW,NP,60.74,39.26,1.29,2022,-10.74,-1.29
Parkes,NSW,NP,67.84,32.16,0.93,2022,-17.84,-0.93
Parramatta,NSW,ALP,45.43,54.57,-1.07,2022,4.57,1.07
Paterson,NSW,ALP,46.69,53.31,1.73,2022,3.31,-1.73
Pearce,WA,ALP,40.96,59.04,-14.23,2022,9.04,14.23
Perth,WA,ALP,35.2,64.8,-11.57,2022,14.8,11.57
Petrie,QLD,LNP,54.44,45.56,-3.96,2022,-4.44,3.96
Rankin,QLD,ALP,40.91,59.09,-2.65,2022,9.09,2.65
Reid,NSW,ALP,44.81,55.19,-8.37,2022,5.19,8.37
Richmond,NSW,ALP,41.77,58.23,-4.15,2022,8.23,4.15
Riverina,NSW,NP,64.85,35.15,-4.63,2022,-14.85,4.63
Robertson,NSW,ALP,47.74,52.26,-6.5,2022,2.26,6.5
Ryan,QLD,ALP,47.58,52.42,-8.45,2022,2.42,8.45
Scullin,VIC,ALP,34.42,65.58,6.08,2022,15.58,-6.08
Shortland,NSW,ALP,44.18,55.82,-1.37,2022,5.82,1.37
Solomon,NT,ALP,40.63,59.37,-6.29,2022,9.37,6.29
Spence (fmr Wakefield),SA,ALP,37.1,62.9,1.23,2022,12.9,-1.23
Sturt,SA,LP,50.45,49.55,-6.42,2022,-0.45,6.42
Swan,WA,ALP,41.23,58.77,-11.99,2022,8.77,11.99
Sydney,NSW,ALP,24.43,75.57,-6.9,2022,25.57,6.9
Tangney,WA,ALP,47.62,52.38,-11.88,2022,2.38,11.88
Wannon,VIC,LP,59.07,40.93,-1.1,2022,-9.07,1.1
Warringah,NSW,LP,51.43,48.57,-0.69,2022,-1.43,0.69
Watson,NSW,ALP,34.9,65.1,-1.58,2022,15.1,1.58
Wentworth,NSW,LP,55.92,44.08,-3.93,2022,-5.92,3.93
Werriwa,NSW,ALP,44.18,55.82,-0.35,2022,5.82,0.35
Whitlam,NSW,ALP,39.93,60.07,0.84,2022,10.07,-0.84
Wide Bay,QLD,LNP,61.34,38.66,-1.81,2022,-11.34,1.81
Wills,VIC,ALP,24.23,75.77,-0.06,2022,25.77,0.06
Wright,QLD,LNP,60.89,39.11,-3.69,2022,-10.89,3.69
Adelaide,SA,ALP,30.93,69.07,-7.16,2025,38.14,7.16
Aston,VIC,ALP,46.57,53.43,-6.04,2025,6.86,6.04
Ballarat,VIC,ALP,39.34,60.66,2.32,2025,21.32,-2.32
Banks,NSW,ALP,47.61,52.39,-5.03,2025,4.78,5.03
Barker,SA,LP,62.98,37.02,-3.64,2025,-25.96,3.64
Barton,NSW,ALP,34,66,-4.01,2025,32,4.01
Bass,TAS,ALP,41.99,58.01,-9.44,2025,16.02,9.44
Bean,ACT,ALP,30.71,69.29,-6.34,2025,38.58,6.34
Bendigo,VIC,ALP,48.6,51.4,-51.4,2025,2.8,51.4
Bennelong,NSW,ALP,40.74,59.26,-9.3,2025,18.52,9.3
Berowra,NSW,LP,51.63,48.37,-5.93,2025,-3.26,5.93
Blair,QLD,ALP,44.29,55.71,-0.48,2025,11.42,0.48
Blaxland,NSW,ALP,28.1,71.9,-8.86,2025,43.8,8.86
Bonner,QLD,ALP,45,55,-8.41,2025,10,8.41
Boothby,SA,ALP,38.9,61.1,-7.82,2025,22.2,7.82
Bowman,QLD,LNP,52.43,47.57,-3.08,2025,-4.86,3.08
Braddon,TAS,ALP,42.8,57.2,-15.23,2025,14.4,15.23
Bradfield,NSW,LP,54.95,45.05,-1.18,2025,-9.9,1.18
Brand,WA,ALP,33.08,66.92,0.15,2025,33.84,-0.15
Brisbane,QLD,ALP,41.04,58.96,-58.96,2025,17.92,58.96
Bruce,VIC,ALP,35.38,64.62,-9.31,2025,29.24,9.31
Bullwinkel,WA,ALP,49.49,50.51,2.84,2025,1.02,-2.84
Burt,WA,ALP,34.29,65.71,-2.42,2025,31.42,2.42
Calare,NSW,NP,62.26,37.74,-3.19,2025,-24.52,3.19
Calwell,VIC,ALP,35.29,64.71,-2.32,2025,29.42,2.32
Canberra,ACT,ALP,23.58,76.42,-3.96,2025,52.84,3.96
Canning,WA,LP,56.55,43.45,5.35,2025,-13.1,-5.35
Capricornia,QLD,LNP,55.83,44.17,-0.76,2025,-11.66,0.76
Casey,VIC,LP,52.89,47.11,1.46,2025,-5.78,-1.46
Chifley,NSW,ALP,30.17,69.83,-6.18,2025,39.66,6.18
Chisholm,VIC,ALP,44.3,55.7,-2.37,2025,11.4,2.37
Clark,TAS,ALP,29.11,70.89,-3.65,2025,41.78,3.65
Cook,NSW,LP,57.19,42.81,-4.43,2025,-14.38,4.43
Cooper,VIC,ALP,21.47,78.53,-2.82,2025,57.06,2.82
Corangamite,VIC,ALP,41.95,58.05,-0.21,2025,16.1,0.21
Corio,VIC,ALP,36.77,63.23,-0.74,2025,26.46,0.74
Cowan,WA,ALP,36.37,63.63,-3.69,2025,27.26,3.69
Cowper,NSW,NP,59.08,40.92,-0.45,2025,-18.16,0.45
Cunningham,NSW,ALP,32.48,67.52,-2.45,2025,35.04,2.45
Curtin,WA,LP,52.16,47.84,-3.48,2025,-4.32,3.48
Dawson,QLD,LNP,61.83,38.17,1.41,2025,-23.66,-1.41
Deakin,VIC,ALP,47.18,52.82,-2.84,2025,5.64,2.84
Dickson,QLD,ALP,44.01,55.99,-7.69,2025,11.98,7.69
Dobell,NSW,ALP,40.57,59.43,-2.87,2025,18.86,2.87
Dunkley,VIC,ALP,42.92,57.08,-0.31,2025,14.16,0.31
Durack,WA,LP,60.15,39.85,5.49,2025,-20.3,-5.49
Eden-Monaro,NSW,ALP,42.79,57.21,-1.13,2025,14.42,1.13
Fadden,QLD,LNP,56.88,43.12,-3.75,2025,-13.76,3.75
Fairfax,QLD,LNP,53.23,46.77,-5.72,2025,-6.46,5.72
