Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
Oxley,QLD,ALP,40.28,59.72,-1.76,2004,9.72,1.76
Page,NSW,NP,54.23,45.77,1.46,2004,-4.23,-1.46
Parkes,NSW,NP,64.4,35.6,5.66,2004,-14.4,-5.66
Parramatta,NSW,ALP,49.23,50.77,-1.92,2004,0.77,1.92
Paterson,NSW,LP,56.97,43.03,5.55,2004,-6.97,-5.55
Pearce,WA,LP,62.94,37.06,6.06,2004,-12.94,-6.06
Perth,WA,ALP,43.27,56.73,4.48,2004,6.73,-4.48
Petrie,QLD,LP,57.92,42.08,4.44,2004,-7.92,-4.44
Port Adelaide,SA,ALP,37.09,62.91,3.09,2004,12.91,-3.09
Prospect,NSW,ALP,42.88,57.12,5.69,2004,7.12,-5.69
Rankin,QLD,ALP,46.77,53.23,-0.81,2004,3.23,0.81
Reid,NSW,ALP,37.23,62.77,4.1,2004,12.77,-4.1
Richmond,NSW,ALP,49.81,50.19,-1.87,2004,0.19,1.87
Riverina,NSW,NP,70.66,29.34,0.79,2004,-20.66,-0.79
Robertson,NSW,LP,56.81,43.19,-0.17,2004,-6.81,0.17
Ryan,QLD,LP,60.42,39.58,0.86,2004,-10.42,-0.86
Scullin,VIC,ALP,35.21,64.79,5.45,2004,14.79,-5.45
Shortland,NSW,ALP,40.51,59.49,-0.71,2004,9.49,0.71
Solomon,NT,CLP,52.81,47.19,2.72,2004,-2.81,-2.72
Stirling,WA,LP,52.04,47.96,3.62,2004,-2.04,-3.62
Sturt,SA,LP,56.8,43.2,-1.69,2004,-6.8,1.69
Swan,WA,ALP,49.92,50.08,1.96,2004,0.08,-1.96
Sydney,NSW,ALP,33.58,66.42,-1.38,2004,16.42,1.38
Tangney,WA,LP,61.75,38.25,3.78,2004,-11.75,-3.78
Throsby,NSW,ALP,35,65,0.1,2004,15,-0.1
Spence (fmr Wakefield),SA,LP,50.67,49.33,1.93,2004,-0.67,-1.93
Wannon,VIC,LP,62.37,37.63,3.14,2004,-12.37,-3.14
Warringah,NSW,LP,60.48,39.52,-2.18,2004,-10.48,2.18
Watson,NSW,ALP,34.86,65.14,2.17,2004,15.14,-2.17
Wentworth,NSW,LP,55.48,44.52,-2.38,2004,-5.48,2.38
Werriwa,NSW,ALP,40.69,59.31,-0.82,2004,9.31,0.82
Wide Bay,QLD,NP,62.89,37.11,2.99,2004,-12.89,-2.99
Wills,VIC,ALP,33.1,66.9,3.67,2004,16.9,-3.67
Adelaide,SA,ALP,41.47,58.53,-7.2,2007,8.53,7.2
Aston,VIC,LP,55.05,44.95,-8.1,2007,-5.05,8.1
Ballarat,VIC,ALP,41.85,58.15,-5.92,2007,8.15,5.92
Banks,NSW,ALP,38.92,61.08,-7.86,2007,11.08,7.86
Barker,SA,LP,59.45,40.55,-10.43,2007,-9.45,10.43
Barton,NSW,ALP,37.9,62.1,-4.53,2007,12.1,4.53
Bass,TAS,ALP,49,51,-3.63,2007,1,3.63
Cooper (fmr Batman),VIC,ALP,24.05,75.95,-4.63,2007,25.95,4.63
Bendigo,VIC,ALP,43.87,56.13,-5.17,2007,6.13,5.17
Bennelong,NSW,ALP,48.6,51.4,-5.53,2007,1.4,5.53
Berowra,NSW,LP,58.94,41.06,-4.88,2007,-8.94,4.88
Blair,QLD,ALP,45.52,54.48,-10.17,2007,4.48,10.17
Blaxland,NSW,ALP,31.63,68.37,-3.14,2007,18.37,3.14
Bonner,QLD,ALP,45.47,54.53,-5.04,2007,4.53,5.04
Boothby,SA,LP,52.93,47.07,-2.44,2007,-2.93,2.44
Bowman,QLD,LP,50.04,49.96,-8.86,2007,-0.04,8.86
Braddon,TAS,ALP,48.56,51.44,-2.57,2007,1.44,2.57
Bradfield,NSW,LP,63.45,36.55,-4.1,2007,-13.45,4.1
Brand,WA,ALP,44.38,55.62,-0.97,2007,5.62,0.97
Brisbane,QLD,ALP,43.24,56.76,-2.82,2007,6.76,2.82
Bruce,VIC,ALP,41.68,58.32,-4.84,2007,8.32,4.84
Calare,NSW,NP,62.05,37.95,0.64,2007,-12.05,-0.64
Calwell,VIC,ALP,30.67,69.33,-11.14,2007,19.33,11.14
Canberra,ACT,ALP,38.18,61.82,-1.91,2007,11.82,1.91
Canning,WA,LP,55.58,44.42,-3.96,2007,-5.58,3.96
Capricornia,QLD,ALP,37.29,62.71,-8.7,2007,12.71,8.7
Casey,VIC,LP,55.93,44.07,-5.42,2007,-5.93,5.42
Charlton,NSW,ALP,37.13,62.87,-4.47,2007,12.87,4.47
Chifley,NSW,ALP,29.34,70.66,-8.69,2007,20.66,8.69
Chisholm,VIC,ALP,42.62,57.38,-4.73,2007,7.38,4.73
Cook,NSW,LP,56.57,43.43,-6.71,2007,-6.57,6.71
Corangamite,VIC,ALP,49.15,50.85,-6.17,2007,0.85,6.17
Corio,VIC,ALP,41.07,58.93,-3.29,2007,8.93,3.29
Cowan,WA,LP,51.71,48.29,2.49,2007,-1.71,-2.49
Cowper,NSW,NP,51.23,48.77,-5.52,2007,-1.23,5.52
Cunningham,NSW,ALP,31.87,68.13,-6.51,2007,18.13,6.51
Curtin,WA,LP,63.57,36.43,-1.05,2007,-13.57,1.05
Dawson,QLD,ALP,46.79,53.21,-13.2,2007,3.21,13.2
Deakin,VIC,ALP,48.59,51.41,-6.38,2007,1.41,6.38
Clark (fmr Denison),TAS,ALP,34.37,65.63,-2.34,2007,15.63,2.34
Dickson,QLD,LP,50.13,49.87,-8.76,2007,-0.13,8.76
Dobell,NSW,ALP,46.1,53.9,-8.74,2007,3.9,8.74
Dunkley,VIC,LP,54.04,45.96,-5.34,2007,-4.04,5.34
Eden-Monaro,NSW,ALP,46.6,53.4,-6.67,2007,3.4,6.67
Fadden,QLD,LP,60.2,39.8,-5.7,2007,-10.2,5.7
Fairfax,QLD,LP,53.01,46.99,-9.4,2007,-3.01,9.4
Farrer,NSW,LP,61.17,38.83,-5.46,2007,-11.17,5.46
Fisher,QLD,LP,53.1,46.9,-7.88,2007,-3.1,7.88
Flinders,VIC,LP,58.25,41.75,-2.86,2007,-8.25,2.86
Flynn,QLD,ALP,49.84,50.16,-7.88,2007,0.16,7.88
Forde,QLD,ALP,47.09,52.91,-14.43,2007,2.91,14.43
Forrest,WA,LP,55.83,44.17,-4.62,2007,-5.83,4.62
Fowler,NSW,ALP,31.75,68.25,-4.93,2007,18.25,4.93
Franklin,TAS,ALP,45.52,54.48,3.11,2007,4.48,-3.11
