February 5 	37.5	28.5	4.5	33.0	29.5	12.5	9.0	2.5	9.5
January 29 	37.5	29.5	4.0	33.5	29.0	11.5	9.5	3.0	8.0
January 22 	39.0	28.5	4.0	32.5	28.5	11.5	9.0	4.0	7.0
January 15 	39.5	27.5	4.0	31.5	29.0	12.5	8.0	3.5	7.0
January 8 	39.5	27.0	4.0	31.0	29.5	11.5	8.5	3.0	6.0
2022
December 16 	38.0	28.0	4.5	32.5	29.5	12.5	8.0	4.5	8.0
December 11 	37.0	29.0	4.0	33.0	29.5	12.5	8.0	5.0	8.5
December 4	36.5	33.5	4.0	33.5	25.0	14.0	8.5	5.5	10.5
November 27	37.5	32.0	5.5	37.5	25.0	11.0	7.0	3.5	11.0
November 20	36.5	33.0	4.5	37.5	26.0	11.0	7.5	3.5	7.5
November 13	37.0	32.0	5.5	37.5	25.5	11.5	8.0	3.5	7.5
November 6	37.0	35.0	4.0	39.0	24.0	11.0	6.0	3.0	8.0
October 30	38.0	33.0	4.5	37.0	24.5	11.5	6.0	4.0	6.0
October 23	36.5	34.0	3.0	37.5	26.0	11.0	8.0	2.5	6.0
October 16	37.5	33.5	3.0	36.5	6.5	11.5	7.5	3.0	4.5
October 9	37.0	33.0	4.0	37.5	25.5	10.5	7.5	4.0	5.5
October 2	38.0	33.5	3.5	37.0	25.0	11.0	6.5	4.0	5.0
September 25	36.5	32.0	4.5	36.5	27.0	12.0	9.0	3.0	6.0
September 18	37.0	32.0	4.0	36.0	27.0	12.0	7.5	3.5	6.0
September 11	36.5	32.5	5.0	37.5	26.0	12.0	6.0	4.0	6.0
September 4	36.0	32.5	4.0	36.5	27.5	12.0	7.5	4.0	6.5
August 28	36.0	34.0	5.5	40.0	24.5	10.5	6.0	4.0	5.5
August 21	37.5	33.0	5.0	38.5	24.5	11.5	7.0	3.0	7.0
August 14	36.5	34.5	4.5	39.0	24.5	11.5	6.0	3.0	7.5
*The results for the Roy Morgan survey of April 27, 2025 have a combined figure of 18.5% for Independents & Other Parties. This includes support for One Nation (highlighted in the release) of 7.5%.

Earlier Roy Morgan Poll Results 2013-2022


ALP
L-NP
The Greens
One Nation
NXT/ Centre Alliance	Ind./Others
May 9-15, 2022	34	34 (3.5)	13	4	n/a	15
May 2-8, 2022	35.5	34 (4)	13	4	n/a	13.5
April 25 - May 1, 2022	35	35 (3)	13	3	n/a	14
April 18-24, 2022	35	35.5 (3.5)	12	4.5	n/a	13
April 11-17, 2022	35	35.5 (3)	14	4.5	n/a	11
April 4-10, 2022	36	32.5 (3.5)	12.5	5	n/a	14
March 28 - April 3, 2022	39.5	33 (2.5)	11	3.5	n/a	13
March 21-27, 2022	35.5	33 (2.5)	12.5	3.5	n/a	15.5
March 14-20, 2022	37.5	31 (3)	12	3	n/a	16.5
March 3-13, 2022	37	33.5 (3)	11.5	3	n/a	15
February 24 - March 2, 2022	37.5	34 (2.5)	11.5	3.5	n/a	13.5
February 14-23, 2022	37.5	32.5 (4)	12.5	3.5	n/a	14
January 31 - February 13, 2022	38.5	33 (3)	11.5	4	n/a	13
January 17-30, 2022	37.5	33 (3)	11.5	3.5	n/a	14.5
January 4-16, 2022	37	34.5 (3.5)	12	3	n/a	13.5
2022
December 11/12 & 18/19, 2021	37	34.5 (2.5)	11.5	4	n/a	13
November 27/28 & December 4/5, 2021	36	34.5 (3.5)	12.5	3.5	n/a	13.5
November 13/14 & 20/21, 2021	35.5	35.5 (4)	12	3.5	n/a	13.5
October 30/31 & November 6/7, 2021	35	36.5 (4)	11.5	3	n/a	14
October 16/17 & 23/24, 2021	35	36.5 (4)	13.5	3.5	n/a	11.5
October 2/3 & 9/10, 2021	36	37.5 (4.5)	11.5	3	n/a	12
September 18/19 & 25/26, 2021	36	36 (3.5)	12.5	3.5	n/a	12
September 4/5 & 11/12, 2021	35	38.5 (3.5)	13	3	n/a	10.5
August 21/22 & 28/29, 2021	38.5	37.5 (3.5)	11.5	3	n/a	9.5
August 7/8 & 14/15, 2021	37.5	37.5 (4)	12.5	3.5
n/a	9
July 24/25 & 31/ August 1, 2021	37	37 (3)	12.5	3	n/a	10.5
July 10/11 & 17/18, 2021	37	39 (4.5)	11.5	3	n/a	9.5
June 12/13 & 19/20, 2021	34.5	41.5 (3.5)	12	3.5	n/a	8.5
May 29/30 & June 5/6, 2021	35.5	40 (3.5)	11.5	3	n/a	10
March 6/7 & 13/14, 2021	34.5	41 (3.5)	12.5	2.5	n/a	9.5
February 6/7 & 13/14, 2021	34.5	40 (4)	13	3.5	n/a	9
2021
November 14/15 & 21/22, 2020	34	42 (3.5)	12	4	n/a	8
October 17/18 & 24/25, 2020	34	42.5 (3.5)	12	4	n/a	7.5
August 8/9 & 15/16, 2020	32.5	46 (3.5)	11	3	n/a	7.5
July 11/12 & 18/19, 2020	33.5	43.5 (3)	11	2.5	n/a	9.5
June 13/14 & 20/21, 2020	34.5	42.5 (3.5)	10.5	4	n/a	8.5
May 16/17 & 23/24, 2020	33	44.5 (3.5)	11	3.5	n/a	8
April 18/19 & 25/26, 2020	33	43.5 (3)	11.5	3	n/a	9
February 28/March 1 & 7/8, 2020	36	36.5 (2.5)	11	4	n/a	12.5
2020
2019 Federal Election - May 18, 2019	33.3	41.4 (4.8)	10.4	3.1	0.3	11.5
April 20/21, 2019	35.5	39 (2.5)	9.5	4.5	n/a	11.5
April 6/7, 2019	35	37 (3)	13.5	4	n/a	10.5
March 16/17 & 23/24, 2019	36.5	34.5 (2.5)	12.5	3.5	n/a	13
February 16/17, 2019	34.5	37 (3.5)	11.5	3.5	n/a	13.5
February 2/3 & 9/10, 2019	36	34.5 (2.5)	12.5	3	n/a	14
2019	





August 25/26, 2018	36	36.5 (4.5)	13	2.5	0.5	11.5
August 24, 2018 - Scott Morrison emerges victorious in a three way leadership ballot and becomes Prime Minister
August 18/29, 2018	34.5	39 (4.5)	12	2	1	11.5
March 17/18 & 24/25, 2018	35	40 (5.5)	12	3.5	0.5	9
March 3/4 & 10/11, 2018	36	36 (2.5)	13.5	3	1.5	10
2018	





2016 Federal Election - July 2, 2016	34.7	42 (4.8)	10.2	1.3	1.9	9.9
May 21/22 & 28/29, 2016	32.5	37.5 (3.5)	13	n/a	5	12
May 14/15, 2016	33	36.5 (3)	15.5	n/a	5	10
April 23/24, 30/ May 1, 2016	32.5	40 (3)	13.5	n/a	4	10
April 9/10 & 16/17, 2016	32	40.5 (3)	14	n/a	4.5	9
March 26/27 & April 2/3, 2016	31	42 (3.5)	13	n/a	4.5	9.5
March 12/13 & 19/20, 2016	33	40 (3.5)	14	n/a	4	9
February 27/28 & March 5/6, 2016	29.5	43 (3.5)	13	n/a	5	9.5
February 13/14 & 20/21, 2016	29.5	43.5 (3.5)	15	n/a	1.5	10.5
January 30/31 & February 6/7, 2016	29	43.5 (2.5)	16	n/a	1	10.5
January 16/17 & 23/24, 2016	28	43.5 (3)	15	n/a	2	11.5
January 2/3 & 9/10, 2016	29	47 (3)	13	n/a	n/a	11
2016
December 5/6 & 12/13, 2015	27	48 (3)	14.5	n/a	n/a	10.5
November 21/22 & 28/29, 2015	28.5	46.5 (2.5)	14	n/a	n/a	11
November 7/8 & 14/15, 2015	28	46 (2.5)	14.5	n/a	n/a	11.5
October 24/25, 31 & November 1, 2015	28.5	47 (3)	14.5	n/a	n/a	10
October 10/11 & 17/18, 2015	27.5	46.5 (3)	15.5	n/a	n/a	10.5
September 26/27 & October 1-5, 2015	27.5	47 (3)	14	n/a	n/a	11.5
September 19/20, 2015	29.5	46 (2.5)	13	n/a	n/a	11.5
September 15, 2015 - Malcolm Turnbull challenges and defeats Tony Abbott to become Prime Minister
September 12/13, 2015	36.5	35 (2.5)	16	n/a	n/a	12.5
