,ALP,Liberal Party,National Party,Total L-NP,Total Others,Greens,Indepen-dents (ALL),Other Parties (ALL),Can’t say/ Refused
Change,+2.5,-1.5,+0.5,-1.0,-1.5,-0.5,+1.0,+0.5,+0.5
2025
October 20,32.0,33.0,3.5,36.0,31.5,13.5,9.0,9.0,7.5
October 13,29.5,34.0,3.5,37.5,32.5,14.0,8.5,10.0,6.0
October 6,31.5,34.0,3.0,37.5,31.0,12.5,8.5,9.5,7.0
September 29,30.0,34.5,3.5,38.0,32.0,13.5,9.5,8.5,8.0
September 22,32.5,33.5,4.0,37.5,30.0,12.5,9.5,8.5,7.5
September 15,30.5,33.5,4.0,37.5,32.0,12.5,10.0,9.5,6.0
September 8,30.0,34.0,2.5,36.5,33.5,14.5,9.5,9.5,7.0
September 1,30.5,32.5,3.5,36.0,33.5,13.0,9.5,11.0,8.0
August 25,29.5,35.0,4.5,39.5,31.0,13.0,9.0,9.0,5.5
August 18,30.5,34.5,4.0,38.5,31.0,13.5,8.5,9.0,8.5
August 11,29.5,33.5,4.0,37.5,33.0,14.5,9.5,9.0,8.0
August 4,30.5,34.0,3.0,37.0,32.5,14.5,9.5,17.5,8.0
July 28,30.5,33.0,4.5,37.5,32.0,13.0,8.5,10.5,8.0
July 21,31.0,36.0,3.5,39.5,29.5,12.5,7.5,9.5,8.0
July 14,31.0,34.0,3.5,37.5,31.0,12.5,9.0,9.5,5.5
July 7,28.5,36.0,3.5,39.5,32.0,13.5,9.0,9.5,7.5
June 30,31.5,33.0,3.5,36.5,32.0,13.0,9.0,9.5,9.0
June 23,31.5,34.0,3.0,37.0,31.5,13.5,8.5,10.0,8.0
June 16,29.5,32.5,5.0,37.5,32.5,13.5,8.5,10.5,7.5
June 9,30.0,31.0,4.0,35.0,34.5,15.5,9.5,10.0,8.0
June 2,31.0,31.5,4.5,36.0,33.0,14.0,9.0,10.0,7.5
May 26,28.5,34.0,3.5,37.0,34.5,15.0,9.5,10.5,6.5
May 19,30.5,33.0,4.0,37.0,32.5,14.5,8.5,9.0,9.0
May 12,32.0,33.5,3.5,36.5,31.1,13.5,7.5,9.5,7.5
May 5,30.0,32.0,5.0,37.0,33.0,13.0,8.5,11.5,7.5
