,ALP,L-NP,Liberal,National,Greens,Family First,Dems,One Nation,Other
"July 17/18, 2010 (Face : Face)",44.5,39.5,35.0,4.5,10.5,1.5,< 0.5,< 0.5,4.0
"July 10/11, 2010 (Face : Face)",40.5,41.,37.5,3.5,12.0,1.5,< 0.5,< 0.5,5.0
"June 26/27 & July 3/4, 2010 (Face : Face)",45.5,38.0,36.0,2.0,10.5,1.5,< 0.5,< 0.5,4.5
"June 25-28, 2010 (Phone)",38.5,45.5,41.0,4.5,9.0,1.5,< 0.5,< 0.5,5.5
"June 19/20, 2010 (Face : Face)",41.0,41.0,38.5,2.5,12.5,1.5,< 0.5,< 0.5,4.0
"June 12/13, 2010 (Face : Face)",38.0,41.0,39.5,1.5,13.0,1.5,< 0.5,< 0.5,6.5
"June 5/6, 2010 (Face : Face)",40.0,41.5,39.5,2.0,11.0,2.5,< 0.5,< 0.5,5.0
"May 29/30, 2010 (Face : Face)",42.0,41.0,38.5,2.5,8.5,1.5,< 0.5,< 0.5,7.0
"May 26/27, 2010 (Phone)",37.5,43.0,40.0,3.0,11.5,1.5,< 0.5,< 0.5,6.5
"May 22/23, 2010 (Face : Face)",42.5,41.0,39.0,2.0,11.0,2.0,< 0.5,< 0.5,3.5
"May 15/16, 2010 (Face : Face)",37.5,43.0,40.0,3.0,12.0,1.5,< 0.5,< 0.5,6.0
"May 12/13, 2010 (Phone)",36.0,46.0,43.5,2.5,11.5,2.0,< 0.5,< 0.5,4.5
"May 8/9, 2010 (Face : Face)",41.0,42.5,39.0,3.5,9.0,2.5,< 0.5,< 0.5,5.0
"May 4/5, 2010 (Phone)",39.5,44.5,42.0,2.5,9.0,1.5,< 0.5,< 0.5,5.5
"April 24/25, 2010 (Face : Face)",44.0,40.5,37.0,3.5,8.0,2.5,< 0.5,< 0.5,5.0
"April 10/11 & 17/18, 2010 (Face : Face)",43.0,37.5,34.5,3.0,12.0,2.0,< 0.5,< 0.5,5.5
"March 27/28 & April 3/4, 2010 (Face : Face)",48.0,36.5,34.5,2.0,8.5,2.5,< 0.5,< 0.5,4.5
"March 13/14 & 20/21, 2010 (Face : Face)",44.5,37.0,35.0,2.0,11.0,2.0,< 0.5,< 0.5,5.5
"February 27/28 & March 6/7, 2010 (Face : Face)",45.0,38.5,36.0,2.5,8.5,2.0,< 0.5,< 0.5,6.0
"February 20/21, 2010 (Face : Face)",45.0,37.5,34.5,3.0,9.0,2.5,< 0.5,< 0.5,6.0
"February 6/7 & 13/14, 2010 (Face : Face)",47.0,37.0,34.5,2.5,9.0,2.0,< 0.5,< 0.5,5.0
"February 10/11, 2010 (Phone)",42.0,41.0,36.5,4.5,10.5,1.0,< 0.5,< 0.5,5.5
"January 23/24 & 30/31, 2010 (Face : Face)",46.0,38.0,35.0,3.0,8.5,1.5,< 0.5,< 0.5,6.0
"January 9/10 & 16/17, 2010 (Face : Face)",47.5,35.5,32.0,3.5,10.0,2.0,< 0.5,< 0.5,5.0
"January 13/14, 2010 (Phone)",43.0,39.0,36.0,3.0,9.5,1.5,< 0.5,< 0.5,7.0
"Dec. 19/20, 2009 & Jan. 2/3, 2010 (Face : Face)",45.5,37.0,34.5,2.5,10.0,2.0,< 0.5,< 0.5,5.5
"December 5/6 & 12/13, 2009 (Face : Face)",49.0,35.5,33.5,2.0,8.0,1.5,< 0.5,< 0.5,6.0
"December 4-9, 2009 (Phone)",42.0,41.5,39.5,2.0,9.5,1.5,< 0.5,< 0.5,5.5
"December 2/3, 2009 (Phone)",41.0,43.0,39.5,3.5,10.5,1.5,< 0.5,< 0.5,4.0
"November 28/29, 2009 (Face : Face)",47.0,35.0,31.5,3.5,9.5,3.0,< 0.5,< 0.5,5.5
"November 21/22, 2009 (Face : Face)",48.0,35.5,33.5,2.0,9.0,1.5,< 0.5,< 0.5,6.0
"November 14/15, 2009 (Face : Face)",45.0,36.5,32.5,4.0,9.0,3.0,< 0.5,< 0.5,6.5
"November 11/12, 2009 (Phone)",42.5,41.5,37.5,4.0,8.0,1.0,< 0.5,< 0.5,7.0
"November 7/8, 2009 (Face : Face)",46.5,38.5,35.5,3.0,8.0,2.0,< 0.5,< 0.5,5.0
"October 31 & November 1, 2009 (Face : Face)",51.0,32.5,30,2.5,9.5,2.0,< 0.5,< 0.5,5.0
"October 17/18 & 24/25, 2009 (Face : Face)",52.0,34.5,31.5,3.0,7.5,2.0,< 0.5,< 0.5,4.0
"October 3/4 & 10/11, 2009 (Face : Face)",49.5,34,31.5,2.5,9.0,2.5,< 0.5,< 0.5,5.0
"October 7/8, 2009 (Phone)",46.5,37,33.0,4.5,10.5,1.0,< 0.5,< 0.5,5.0
"September 19/20 & 26/27, 2009 (Face : Face)",51.0,35.5,33.0,2.5,7.5,2.0,< 0.5,< 0.5,4.0
"September 5/6 & 12/13, 2009 (Face : Face)",51.5,32.5,29.0,3.5,9.5,2.0,< 0.5,< 0.5,4.5
"August 22/23 & 29/30, 2009 (Face : Face)",50.5,33.5,30.0,3.5,9.5,2.0,< 0.5,< 0.5,4.5
"August 8/9 & 15/16, 2009 (Face : Face)",47.5,34.5,31.5,3.0,9.5,2.5,< 0.5,< 0.5,6.0
"August 5/6, 2009 (Phone)",45.5,37.5,34.5,3.0,11.0,1.5,< 0.5,< 0.5,4.5
"July 25/26 & August 1/2, 2009 (Face : Face)",50.5,34.0,31.5,2.5,8.5,2.0,< 0.5,< 0.5,5.0
"July 11/12 & 18/19, 2009 (Face : Face)",48.0,37.5,34.5,3.0,8.0,2.0,< 0.5,< 0.5,4.5
"June 27/28 & July 4/5, 2009 (Face : Face)",46.5,35.0,32.0,3.0,11.5,2.5,< 0.5,< 0.5,4.5
"July 1/2, 2009 (Phone)",46.0,39,36.5,2.5,8.0,1.0,< 0.5,< 0.5,6.0
"June 20/21, 2009 (Face : Face)",46.0,41.0,37.5,3.5,8.5,1.0,< 0.5,< 0.5,3.5
"June 6/7 & 13/14, 2009 (Face : Face)",48.5,38.0,35.0,3.0,7.0,2.5,< 0.5,< 0.5,4.0
"June 10/11, 2009 (Phone)",47.5,37.0,34.5,2.5,8.5,2.5,< 0.5,< 0.5,4.5
"June 3/4, 2009 (Phone)",43.5,39.5,36.0,3.5,9.0,2.5,< 0.5,< 0.5,5.5
"May 23/24 & 30/31, 2009 (Face : Face)",49.0,36.0,33.5,2.5,8.0,2.0,< 0.5,< 0.5,5.0
"May 20/21, 2009 (Phone)",45.0,40.5,36.5,4.0,7.5,1.0,< 0.5,< 0.5,6.0
"May 16/17, 2009 (Face : Face)",49.5,37.5,36.0,1.5,8.0,1.5,< 0.5,< 0.5,3.5
"May 2/3 & 9/10, 2009 (Face : Face)",50.0,34.0,32.0,2.0,9.0,2.5,< 0.5,< 0.5,4.5
"April 18/19 & 25/26, 2009 (Face : Face)",50.0,36.5,34.5,2.0,8.5,1.5,< 0.5,< 0.5,3.5
"April 4/5 & 11/12, 2009 (Face : Face)",51.5,33.5,31.0,2.5,8.0,2.0,< 0.5,< 0.5,5.0
"March 21/22 & 28/29, 2009 (Face : Face)",53.0,33.5,30.5,3.0,8.0,1.5,< 0.5,< 0.5,4.0
"March 14/15, 2009 (Face : Face)",48.5,39.0,36.0,3.0,6.0,1.5,< 0.5,< 0.5,5.0
"March 7/8, 2009 (Face : Face)",50.5,34.5,31.5,3.0,8.0,2.0,< 0.5,< 0.5,5.0
"February 21/22 & 28/ March 1, 2009 (Face : Face)",51.5,33.0,30.5,2.5,8.5,2.5,< 0.5,< 0.5,4.5
"February 14/15, 2009 (Face : Face)",49.0,36.5,33.0,3.5,7.5,1.0,< 0.5,< 0.5,6.0
"February 7/8, 2009 (Face : Face)",51.5,35.5,32.0,3.5,8.0,1.5,< 0.5,< 0.5,3.5
"January 31 & February 1, 2009 (Face : Face)",46.5,38.0,34.0,4.0,8.0,2.5,< 0.5,< 0.5,5.0
"January 17/18 & 24/25, 2009 (Face : Face)",50.5,36.0,34.0,2.0,7.5,1.5,< 0.5,< 0.5,4.5
"January 3/4 & 10/11, 2009 (Face : Face)",51.5,35.0,31.0,4.0,8.0,1.5,< 0.5,< 0.5,4.0
"December 13/14 & 20/21, 2008 (Face : Face)",52.5,35.5,32.5,3.0,6.0,1.5,< 0.5,< 0.5,4.5
November 29/30 & December 6/7 (Face : Face),48.5,34.5,32.0,2.5,10.5,1.5,< 0.5,< 0.5,5.0
November 15/16 & 22/23 (Face : Face),50.5,35.5,33.5,2.0,7.5,2.0,< 0.5,< 0.5,4.5
November 1/2 & 8/9 (Face : Face),49.0,36.0,33.0,3.0,8.5,2.0,< 0.5,< 0.5,4.5
October 18/19 & 25/26 (Face : Face),46.5,37.5,35.0,2.5,8.5,2.0,< 0.5,< 0.5,5.5
October 15/16 (Phone),48.0,38.0,36.0,2.0,8.0,1.5,< 0.5,< 0.5,4.5
October 4/5 & 11/12 (Face : Face),46.0,36.0,33.5,2.5,9.5,2.5,< 0.5,< 0.5,6.0
"October 8/9, 2008 (Phone)",46.5,36.0,34.0,2.0,9.5,3.0,< 0.5,< 0.5,5.0
"September 20/21 & 27/28, 2008 (Face : Face)",46.5,36.5,33.0,3.5,10.0,1.5,< 0.5,< 0.5,5.5
September 24/25 (Phone),46.5,38.5,35.5,3.0,8.0,2.5,< 0.5,< 0.5,4.5
September 6/7 & 13/14 (Face : Face),45.0,38.0,34.5,3.5,8.0,1.5,< 0.5,< 0.5,7.5
August 23/24 & 30/31 (Face : Face),50.0,37.0,34.0,3.0,6.5,2.0,< 0.5,< 0.5,4.5
August 9/10 & 16/17 (Face : Face),47.0,37.5,33.5,4.0,8.5,2.0,< 0.5,< 0.5,5.0
July 26/27 & August 2/3 (Face : Face),45.5,39.5,37.0,2.5,8.0,1.5,< 0.5,< 0.5,5.5
July 19/20 (Face : Face),45.5,39.5,37.5,2.0,7.5,2.0,< 0.5,< 0.5,5.5
July 12/13 (Face : Face),48.0,34.5,32.0,2.5,11.5,2.5,< 0.5,< 0.5,3.5
June 28/29 & July 5/6 (Face : Face),48.5,35.0,32.5,2.5,8.0,2.5,< 0.5,< 0.5,6.0
June 14/15 & 21/22 (Face : Face),52.0,34.0,32.0,2.0,8.0,1.5,< 0.5,< 0.5,4.5
June 7/8 (Face : Face),48.5,36.0,33.0,3.0,8.5,2.0,< 0.5,< 0.5,5.0
June 4-9 (Phone),45.5,38.5,36.5,2.0,8.5,1.5,< 0.5,< 0.5,6.0
May 31 - June 1 (Face : Face),52.5,31.5,29.0,2.5,9.0,2.0,< 0.5,< 0.5,5.0
May 24/25 (Face : Face),53.0,34.0,31.0,3.0,5.5,2.5,< 0.5,< 0.5,5.0
May 17/18 (Face : Face),51.5,35.0,32.5,2.5,8.5,1.0,< 0.5,< 0.5,4.0
May 7-11 (Phone),47.0,37.0,34.5,2.5,9.0,1.0,< 0.5,< 0.5,6.0
May 3/4 (Face : Face),52.5,32.5,30.5,2.0,8.0,2.0,< 0.5,< 0.5,5.0
April 19/20 & 26/27 (Face : Face),54.5,33.5,30.0,3.5,5.5,2.5,< 0.5,< 0.5,4.0
April 16/17 (Phone),55.0,33.0,30.5,2.5,6.0,1.0,< 0.5,< 0.5,5.0
April 12/13 (Face : Face),54.0,33.5,29.0,4.5,6.5,1.0,< 0.5,< 0.5,5.0
April 9/10 (Phone),54.0,32.0,29.0,3.0,8.5,1.0,< 0.5,< 0.5,4.5
April 5/6 (Face : Face),53.5,33.5,31.5,2.0,7.5,1.5,< 0.5,< 0.5,4.0
March 26/27 & April 2/3 (Phone),51.0,34.0,32.0,2.0,7.5,2.0,< 0.5,< 0.5,5.5
March 15/16 & 22/23 (Face : Face),55.0,31.0,29.0,2.0,7.0,3.0,< 0.5,< 0.5,4.0
March 11/12 (Phone),53.5,34.0,31.5,2.5,5.5,1.5,< 0.5,< 0.5,5.5
March 1/2 & 8/9 (Face : Face),55.5,30.5,28.0,2.5,9.0,1.5,< 0.5,< 0.5,3.5
February 16/17 & 23/24 (Face : Face),56.5,31.5,28.5,3.0,6.5,1.5,< 0.5,< 0.5,4.0
February 2/3 & 9/10 (Face : Face),54.0,33.0,30.0,3.0,7.5,1.5,< 0.5,< 0.5,4.0
January 30/31 (Phone),50.0,34.5,31.5,3.0,8.0,1.0,< 0.5,< 0.5,6.5
January 19/20 & 26/27 (Face : Face),49.0,36.0,33.0,3.0,8.5,1.5,< 0.5,< 0.5,5.0
January 23/24 (Phone),53.0,32.0,30.0,2.0,10.0,1.0,< 0.5,< 0.5,4.0
January 5/6 & 12/13 (Face : Face),51.5,33.0,30.5,2.5,8.0,2.0,< 0.5,< 0.5,5.5
December 1/2 & 8/9 (Face : Face),49.5,34.0,31.5,2.5,10.5,2.5,< 0.5,< 0.5,3.5
December 5/6 (Phone),49.0,36.5,33.0,3.5,7.0,1.5,< 0.5,< 0.5,6.0
"Federal Election - November 24, 2007",43.4,42.1,36.6,5.5,7.8,2.0,0.7,< 0.5,4.7
November 23 (Phone),43.5,41.5,37.5,4.0,8.5,2.5,< 0.5,< 0.5,4.0
November 21/22 (Phone),44.5,40.5,36.5,4.0,9.0,2.5,1.0,< 0.5,2.5
November 17/18 (Face : Face),47.5,39.5,37.5,2.0,8.0,0.5,0.5,< 0.5,4.0
November 15-17 (Phone),46.5,40.0,37.0,3.0,8.0,0.5,2.0,0.5,2.5
November 10/11,48.0,39.0,35.5,3.5,7.0,1.0,1.5,< 0.5,3.5
November 7/8 (Phone),44.5,39.0,36.0,3.0,10.5,1.5,2.0,1.0,1.5
November 3/4,54.5,34.0,31.5,2.5,6.0,2.0,0.5,0.5,2.5
October 27/28,49.0,39.0,36.5,2.5,7.5,1.0,1.0,0.5,2.0
October 24/25 (Phone),44.0,41.0,38.0,3.0,10.5,1.0,1.5,0.5,1.5
October 20/21,47.0,39.5,37.0,2.5,8.0,2.0,1.0,1.0,1.5
October 13/14,49.5,39.5,36.5,3.0,7.0,0.5,1.0,0.5,2.0
October 17/18 (Phone),45.0,39.5,37.0,2.5,9.0,1.5,0.5,1.0,3.5
October 6/7,49.5,38.0,35.5,2.5,6.0,2.0,1.0,0.5,3.0
September 29/30,53.5,35.5,33.5,2.0,5.5,1.5,1.5,0.5,2.0
September 22/23,54.0,36.0,33.5,2.5,5.5,1.0,0.5,0.5,2.5
September 15/16,49.5,39.5,36.5,3.0,6.0,1.5,0.5,1.0,2.0
September 8/9,51.0,36.0,34.0,2.0,6.0,2.0,1.0,0.5,3.5
September 1/2,49.0,34.5,33.0,1.5,9.0,2.0,2.0,0.5,3.0
August 18/19 & 25/26,46.0,41.0,38.5,2.5,6.5,1.5,1.0,1.0,3.0
August 4/5 & 11/12,49.5,36.5,33.5,3.0,7.0,2.0,1.5,1.0,2.5
July 21/22 & 28/29,47.0,40.5,38.0,2.5,6.5,1.5,1.0,0.5,3.0
July 7/8 & 14/15,47.5,40.5,38.0,2.5,5.5,2.0,1.5,< 0.5,3.0
June 23/24 & June 30/July 1,50.5,36.0,33.5,2.5,7.0,1.5,0.5,1.0,3.5
June 9/10 & 16/17,48.0,37.0,34.5,2.5,6.5,2.0,1.5,1.0,4.0
June 2/3,51.0,38.0,35.5,2.5,5.5,1.5,0.5,1.0,2.5
May 26/27,49.0,37.5,35.5,2.0,6.0,2.0,1.0,1.5,3.0
May 19/20,51.0,35.5,33.5,2.0,8.0,1.5,1.0,1.0,2.0
May 12/13,51.0,36.0,34.0,2.0,8.0,1.5,1.0,0.5,2.0
May 5/6,51.5,35.5,33.5,2.0,7.0,1.5,1.0,0.5,3.0
April 21/22 & 28/29,52.5,34.5,31.0,3.5,6.5,1.5,1.5,0.5,3.0
April 7/8 & 14/15,50.0,35.5,32.0,3.5,7.5,1.5,1.0,0.5,4.0
March 24/25 & March 31/April 1,49.5,34.5,31.5,3.0,9.0,1.5,1.5,0.5,3.5
March 17/18,48.5,36.0,33.5,2.5,8.0,2.5,1.0,1.0,3.0
March 10/11,51.5,34.0,31.0,3.0,7.5,2.0,1.5,1.0,2.5
March 3/4,51.5,33.0,29.5,3.5,7.0,1.5,2.0,1.0,4.0
February 24/25,52.5,34.0,30.5,3.5,7.5,1.5,0.5,1.0,3.0
February 10/11 & 17/18,48.0,38.0,35.5,2.5,7.0,1.5,1.5,0.5,3.5
February 3/4,47.0,37.0,34.5,2.5,8.0,1.5,2.0,0.5,4.0
January 20/21 & 27/28,43.5,39.0,36.5,2.5,7.5,2.5,1.5,1.5,4.5
January 6/7 & 13/14,47.0,36.5,33.5,3.0,8.0,2.0,1.5,1.5,3.5
December 16/17,49.0,35.5,32.0,3.5,7.0,2.0,2.5,1.0,3.0
December 9/10,50.0,34.5,31.5,3.0,7.0,2.5,1.5,1.0,3.5
November 25/26 & December 2/3,41.0,41.5,38.5,3.0,9.0,1.5,1.5,1.0,4.5
November 11/12 & 18/19,40.5,40.5,38.0,2.5,10.0,2.0,2.5,1.0,3.5
October 28/29 & November 4/5,40.5,41.5,38.0,3.5,9.0,2.0,1.5,1.0,4.5
October 14/15 & 21/22,41.5,40.5,37.0,3.5,8.5,2.0,2.0,0.5,5.0
September 30/October 1 & 7/8,42.0,39.0,36.0,3.0,9.5,2.0,2.0,1.0,4.5
September 16/17 & 23/24,41.5,41.5,38.5,3.0,8.0,1.0,2.5,1.0,4.5
September 2/3 & 9/10,43.0,38.0,35.5,2.5,9.0,2.0,2.5,0.5,5.0
August 19/20 & 26/27,42.5,39.0,37.0,2.0,8.0,2.5,2.5,0.5,5.0
August 5/6 & 12/13,41.5,40.5,37.0,3.5,8.5,3.0,2.0,1.0,3.5
July 22/23 & 29/30,42.0,40.0,37.5,2.5,8.0,2.5,2.0,1.0,4.5
July 15/16,36.5,45.0,42.5,2.5,7.5,2.5,1.5,1.5,5.5
July 1/2 & 8/9,42.5,39.0,36.0,3.0,8.5,2.5,2.5,1.0,4.0
June 17/18 & 24/25,40.5,42.0,39.0,3.0,8.5,1.5,1.5,0.5,5.5
June 3/4 & 10/11,42.0,39.5,37.0,2.5,8.0,2.5,2.0,1.5,4.5
May 20/21 & 27/28,41.0,42.0,38.5,3.5,7.5,3.0,1.5,1.0,4.0
May 13/14,40.5,42.0,39.5,2.5,7.0,1.5,2.5,0.5,6.0
May 6/7,42.0,39.0,37.0,2.0,9.5,1.5,2.5,1.0,4.5
April 22/23 & 29/30,39.0,40.0,37.0,3.0,8.5,2.5,2.5,1.0,6.5
April 8/9 & 15/16,42.0,38.5,36.0,2.5,9.5,2.5,1.5,0.5,5.5
March 25/26 & April 1/2,43.5,39.0,37.0,2.0,8.0,2.0,1.5,1.0,5.0
March 11/12 & 18/19,38.5,44.0,40.5,3.5,8.5,2.5,1.5,1.0,4.0
February 25/26 & March 4/5,39.5,43.0,39.5,3.5,8.0,2.0,1.5,1.0,5.0
February 11/12 & 18/19,40.5,40.0,37.0,3.0,8.0,2.0,2.5,1.0,6.0
February 4/5,42.0,40.5,37.0,3.5,8.0,2.0,1.5,1.0,5.0
January 21/22 & 28/29,38.0,42.0,39.5,2.5,8.5,2.5,2.0,1.0,6.0
January 7/8 & 14/15,43.0,39.0,35.5,3.5,8.0,3.0,2.0,1.0,4.0
December 17/18,39.5,39.5,35.5,4.0,10.5,3.0,1.5,1.5,4.5
December 3/4 & 10/11,42.0,38.5,36.0,2.5,10.0,2.5,2.0,1.0,4.0
November 19/20 & 26/27,45.5,35.5,33.0,2.5,9.0,2.0,2.0,1.5,4.5
November 11/12,38.0,43.5,40.5,3.0,9.0,2.0,1.5,< 0.5,6.0
November 5/6,43.0,38.5,35.5,3.0,9.5,2.0,1.5,1.0,4.5
October 22/23 & 29/30,41.0,39.0,35.5,3.5,9.5,2.0,2.5,1.0,5.0
October 8/9 & 15/16,41.5,39.5,37.0,2.5,9.0,2.0,2.0,1.5,4.5
September 24/25 & October 1/2,38.5,42.0,38.5,3.5,9.0,2.0,2.5,1.5,4.5
September 17/18,34.5,44.0,41.5,2.5,10.0,2.0,2.5,1.5,5.5
September 10/11,41.5,39.5,36.5,3.0,7.0,3.0,1.5,0.5,7.0
August 27/28 & September 3/4,37.0,44.0,40.5,3.5,8.5,3.0,1.5,1.0,5.0
August 13/14 & 20/21,41.5,39.0,36.5,2.5,8.0,3.0,2.0,1.5,5.0
July 30/31 & August 6/7,42.0,41.5,37.5,4.0,7.5,2.0,2.0,1.0,4.0
July 16/17 & 23/24,38.5,41.5,39.0,2.5,8.0,1.5,2.5,2.0,6.0
July 2/3 & 9/10,40.5,42.5,40.5,2.0,7.5,2.5,1.5,1.0,4.5
June 18/19 & 25/26,39.5,42.0,39.5,2.5,9.0,2.5,2.0,1.0,4.0
June 4/5 & 11/12,39.5,43.5,42.0,1.5,7.5,2.0,1.5,1.5,4.5
May 21/22 & 28/29,39.0,45.0,43.0,2.0,7.5,1.5,1.5,0.5,5.0
May 14/15,41.0,43.0,41.5,1.5,8.0,2.0,1.5,0.5,4.0
April 30/May 1 & May 7/8,42.5,42.0,39.5,2.5,8.0,1.5,1.5,1.0,3.5
April 16/17 & 23/24,40.0,42.0,40.0,2.0,8.5,1.5,2.0,1.0,5.0
April 2/3 & 9/10,43.0,40.5,39.0,1.5,8.0,2.0,1.5,1.5,3.5
March 19/20 & 26/27,39.0,44.0,41.5,2.5,8.0,2.0,1.5,1.0,4.5
March 12/13,37.0,44.5,42.0,2.5,10.0,2.5,1.0,1.0,4.0
March 5/6,43.0,44.5,42.0,2.5,7.0,2.5,1.5,1.0,0.5
February 19/20 & 26/27,38.5,46.0,43.5,2.5,7.5,1.0,2.0,0.5p>,4.5
February 5/6 & 12/13,37.5,45.0,42.5,2.5,9.0,2.0,2.0,1.0,3.5
January 22/23 & 29/30,38.0,45.0,42.5,2.5,8.0,2.0,2.0,1.5,3.5
January 8/9 & 15/16,37.0,47.0,43.5,3.5,7.5,2.0,1.5,1.0,4.0
December 11/12 & December 18/19,36.5,45.5,42.5,3.0,9.5,2.0,1.5,1.5,3.5
November 27/28 & December 4/5,36.0,46.5,44.0,2.5,9.0,2.5,1.5,1.0,3.5
November 13/14 & 20/21,39.0,44.0,41.0,3.0,8.5,1.5,2.0,1.0,4.0
October 30/31 & November 6/7,39.5,44.5,42.0,2.5,8.5,2.0,2.0,1.0,2.5
October 9/10 & 16/17,37.5,46.5,41.5,5.0,7.5,0.0,1.5,1.5,5.5
"Federal Election - October 9, 2004",37.6,46.4,40.5,5.9,7.2,2.0,1.2,1.2,4.4
October 7/8,38.5,50.5,45.5,5.0,9.5,N/A,1.0,1.0,4.5
October 2/3,40.5,45.5,41.5,4.0,9.0,N/A,2.0,1.0,6.0
September 25/26,40.0,48.0,44.0,4.0,9.0,N/A,1.0,1.0,5.0
September 18/19,41.0,45.0,42.5,2.5,7.5,N/A,2.0,1.0,6.0
September 11/12,43.5,42.0,40.0,2.0,8.0,N/A,2.0,1.0,5.5
August 28/29 & September 4/5,43.0,41.5,38.5,3.0,10.5,N/A,2.0,0.5,5.5
August 14/15 & 21/22,43.5,41.5,39.0,2.5,9.0,N/A,2.0,1.5,5.0
July 31/ August 1 & August 7& 8,43.0,41.5,40.0,1.5,8.0,N/A,2.5,1.0,5.5
July 17/18 & July 24/25,42.0,44.0,41.5,2.5,7.5,N/A,2.5,1.0,5.5
July 10/11,46.0,44.0,41.5,2.5,8.0,N/A,2.0,0.5,2.0
July 3/4,43.5,45.0,42.5,2.5,7.0,N/A,2.0,0.5,4.5
June 19/20 & June 26/27,45.5,44.5,41.0,3.5,6.5,N/A,2.0,1.0,4.0
June 5/6 & June 12/13,43.5,45.0,42.5,2.5,7.0,N/A,1.5,1.0,4.5
May 22/23 & May 29/30,45.5,42.5,40.0,2.5,7.0,N/A,3.0,1.0,3.5
May 15/16,41.0,44.5,42.5,2.0,8.0,N/A,2.5,2.0,4.0
April 24/25 & May 1/2,44.0,44.5,42.0,2.5,7.0,N/A,2.0,1.0,4.0
April 10/11 & April 17/18,45.0,42.5,41.0,1.5,7.5,N/A,2.0,1.5,3.0
March 27/28 & April 3/4,43.5,43.0,39.5,3.5,9.5,N/A,2.0,1.5,4.0
March 13/14 & March 20/21,45.5,41.5,39.5,2.0,7.0,N/A,2.0,1.0,5.0
February 28/29 & March 6/7,46.0,42.0,39.0,3.0,7.5,N/A,2.5,1.5,3.5
February 14/15 & February 21/22,45.5,43.5,40.5,3.0,6.5,N/A,2.0,1.5,4.0
January 31/ February 1 & February 7/8,48.0,41.0,38.0,3.0,5.5,N/A,2.5,1.5,4.5
January 17/18 & January 24/25,44.0,42.0,39.0,3.0,8.0,N/A,2.5,2.0,4.5
January 3/4 & January 10/11,45.0,42.0,40.0,2.0,7.5,N/A,1.5,2.0,4.0
December 13/14 & December 20/21,42.5,44.5,42.0,2.5,7.0,N/A,2.5,2.5,3.5
December 6/7,41.0,44.0,41.5,2.5,6.0,N/A,2.5,3.0,6.0
November 29/30,38.0,43.5,40.0,3.5,9.0,N/A,3.5,4.5,5.0
November 22/23,38.0,44.0,42.0,2.0,8.0,N/A,4.0,3.0,5.0
November 8/9 & 15/16,35.5,46.0,42.5,3.5,9.5,N/A,3.0,3.0,6.5
October 25/26 & November 1/2,40.0,43.0,41.0,2.0,9.0,N/A,4.0,1.5,4.5
October 11/12 & 18/19,38.5,47.0,44.0,3.0,7.0,N/A,3.0,2.5,5.0
October 4/5,39.0,46.0,43.0,3.0,7.5,N/A,3.5,2.0,5.0
September 13/14 & 20/21,39.0,42.5,40.5,2.0,8.5,N/A,3.0,3.5,5.5
August 30/31 & September 6/7,38.0,42.0,39.5,2.5,9.5,N/A,3.5,3.5,6.0
August 23/24,38.5,42.0,40.5,1.5,8.5,N/A,4.5,2.0,6.0
August 16/17,36.5,49.0,46.5,2.5,8.0,N/A,4.0,0.5,4.5
August 9/10,39.0,47.5,44.0,3.5,7.0,N/A,4.0,1.0,5.0
July 19/20 & 26/27,38.5,46.5,43.5,3.0,9.0,N/A,2.5,1.0,5.5
June 21/22 & 28/29,37.0,47.5,45.5,2.0,10.0,N/A,2.5,0.5,4.5
June 7/8 & 14/15,37.5,48.0,45.0,3.0,8.5,N/A,3.5,1.0,4.5
May 24/25 & May 31/ June 1,42.0,42.5,40.0,2.5,9.5,N/A,2.0,1.0,5.5
May 10/11 & 17/18,39.0,47.0,43.5,3.5,8.0,N/A,3.0,1.5,5.0
April 26/27 & May 3/4,38.0,46.0,44.0,2.0,8.0,N/A,3.5,1.5,5.0
April 19/20,35.5,47.5,44.5,3.0,10.0,N/A,4.5,1.5,4.0
April 12/13,39.0,47.0,43.0,4.0,10.0,N/A,3.5,0.5,4.0
April 5/6,42.0,43.5,40.0,3.5,9.0,N/A,3.0,1.5,4.5
March 22/23,36.0,48.5,45.5,3.0,9.5,N/A,3.0,1.0,4.5
March 15/16,39.5,43.0,39.5,3.5,11.0,N/A,3.0,1.0,6.0
March 1/2 & 8/9,40.5,41.5,39.0,2.5,11.0,N/A,2.5,1.5,5.5
February 15/16 & 22/23,36.0,46.0,43.5,2.5,10.5,N/A,3.5,1.5,5.0
February 1/2 & 8/9,41.0,45.0,41.5,3.5,8.0,N/A,3.5,1.5,4.5
January 18/19 & 25/26,40.0,45.0,42.5,2.5,9.0,N/A,3.0,1.0,4.5
January 4/5 & 11/12,40.0,45.5,43.0,2.5,8.5,N/A,3.5,1.5,4.5
December 6/7 & 14/15,38.5,46.5,43.0,3.5,9.0,N/A,2.5,2.0,5.0
November 23/24 & Nov 30/ December 1,40.0,46.0,43.0,3.0,9.0,N/A,3.0,1.5,3.5
November 9/10 & 16/17,35.0,48.5,45.5,3.0,9.5,N/A,3.0,1.5,5.5
October 26/27 & November 2/3,35.0,49.0,46.0,3.0,10.0,N/A,3.5,1.5,4.0
October 12/13 & 19/20,38.5,45.0,42.0,3.0,10.5,N/A,2.5,1.5,5.0
