,ALP,L-NP,Liberal,National,Greens,Family First,Dems,One Nation,Other
"March 3/4, 2012 (Face)",39.0,43.5,40.5,3.0,10.0,< 0.5,< 0.5,< 0.5,7.5
"February 25/26, 2012 (Face)",37.5,42.5,40.5,2.0,11.0,< 0.5,< 0.5,< 0.5,9.0
"February 11/12 & 18/19, 2012 (Face)",37.0,41.5,38.5,3.0,14.5,< 0.5,< 0.5,< 0.5,7.0
"February 7/8, 2012 (Phone)",31.0,46.5,45.5,1.0,12.0,< 0.5,< 0.5,< 0.5,10.5
"February 4/5, 2012 (Face)",38.5,45.5,41.5,4.0,9.5,< 0.5,< 0.5,< 0.5,6.5
"January 28/29, 2012 (Face)",39.5,41.5,39.5,2.0,10.0,< 0.5,< 0.5,< 0.5,9.0
"January 14/15 & 21/22, 2012 (Face)",38.5,42.5,39.0,3.5,12.0,< 0.5,< 0.5,< 0.5,7.0
"January 17/18, 2012 (Phone)",35.5,46.5,45.5,1.0,9.0,< 0.5,< 0.5,< 0.5,9.0
"January 7/8, 2012 (Face)",37.0,45.0,39.5,5.5,10.5,< 0.5,< 0.5,< 0.5,7.5
"December 10/11 & 17/18, 2011 (Face)",36.5,43.0,39.0,4.0,13.0,< 0.5,< 0.5,< 0.5,7.5
"November 26/27 & December 3/4, 2011 (Face)",36.5,46.5,43.0,3.5,10.0,< 0.5,< 0.5,< 0.5,7.0
"November 19/20, 2011 (Face)",36.5,45.5,40.0,5.5,12.0,< 0.5,< 0.5,< 0.5,6.0
"November 5/6 & 12/13, 2011 (Face)",34.5,47.0,43.0,4.0,11.5,< 0.5,< 0.5,< 0.5,7.0
"November 2/3, 2011 (Phone)",34.0,45.0,43.0,2.0,12.5,< 0.5,< 0.5,< 0.5,8.5
"October 29/30, 2011 (Face)",34.0,46.5,42.0,4.5,13.5,< 0.5,< 0.5,< 0.5,6.0
"October 25/26, 2011 (Phone)",31.0,47.0,45.5,1.5,12.5,< 0.5,< 0.5,< 0.5,9.5
"October 22/23, 2011 (Face)",35.0,49.5,46.5,3.0,10.5,< 0.5,< 0.5,< 0.5,5.0
"October 15/16, 2011 (Face)",36.5,44.0,39.5,4.5,10.0,< 0.5,< 0.5,< 0.5,9.5
"October 8/9, 2011 (Face)",38.5,43.5,40.0,3.5,11.0,< 0.5,< 0.5,< 0.5,7.0
"September 24/25 & October 1/2, 2011 (Face)",35.5,46.5,43.5,3.0,10.0,< 0.5,< 0.5,< 0.5,8.0
"September 10/11 & 17/18, 2011 (Face)",32.0,48.0,44.0,4.0,11.0,< 0.5,< 0.5,< 0.5,9.0
"August 27/28 & September 3/4, 2011 (Face)",32.5,46.5,43.0,3.5,12.5,< 0.5,< 0.5,< 0.5,8.5
"August 13/14 & 20/21, 2011 (Face)",32.5,49.5,45.0,4.5,11.0,< 0.5,< 0.5,< 0.5,7.0
"August 9/10, 2011 (Phone)",29.5,49.0,47.0,2.0,12.0,< 0.5,< 0.5,< 0.5,9.5
"July 30/31 & August 6/7, 2011 (Face)",34.5,47.5,42.0,5.5,12.0,< 0.5,< 0.5,< 0.5,6.0
"July 16/17 & 23/24, 2011 (Face)",34.5,47.0,42.5,4.5,12.0,< 0.5,< 0.5,< 0.5,6.5
"July 13/14, 2011 (Phone)",27.5,52.5,50.0,2.5,10.5,< 0.5,< 0.5,< 0.5,9.5
"July 9/10, 2011 (Face)",33.5,48.0,43.5,4.5,11.5,< 0.5,< 0.5,< 0.5,7.0
"June 25/26 & July 2/3, 2011 (Face)",31.5,49.0,44.5,4.5,11.5,2.0,< 0.5,< 0.5,6.0
"June 11/12 & 18/19, 2011 (Face)",35.0,46.5,42.0,4.5,11.5,2.0,< 0.5,< 0.5,5.0
"June 4/5, 2011 (Face)",33.5,46.5,43.0,3.5,12.0,2.5,< 0.5,< 0.5,5.5
"May 31 - June 2, 2011 (Phone)",30.0,50.0,48.0,2.0,9.5,< 0.5,< 0.5,< 0.5,10.5
"May 21/22 & 28/29, 2011 (Face)",36.0,45.5,41.0,4.,12.0,< 0.5,< 0.5,< 0.5,6.5
"May 14/15, 2011 (Face)",36.0,44.5,41.5,3.0,13.0,2.0,< 0.5,< 0.5,4.5
"May 7/8, 2011 (Face)",34.0,48.0,45.0,3.0,11.0,1.5,< 0.5,< 0.5,5.5
"May 3-5, 2011 (Phone)",34.0,46.0,44.5,1.5,11.0,2.0,< 0.5,< 0.5,7.0
"April 23/24 & 30/ May 1, 2011 (Face)",37.0,46.0,40.5,5.5,10.5,2.0,< 0.5,< 0.5,4.5
"April 9/10 & 16/17, 2011 (Face)",35.0,46.0,41.5,4.5,11.5,2.0,< 0.5,< 0.5,5.5
"April 2/3, 2011 (Face)",36.5,48.0,42.0,6.0,9.5,2.0,< 0.5,< 0.5,4.0
"March 19/20 & 26/27, 2011 (Face) (TOTAL)",37.5,43.5,39.0,4.5,12.0,1.5,< 0.5,< 0.5,5.5
"March 26/27, 2011 (Face)",35.5,47.0,41.0,6.0,11.5,1.5,< 0.5,< 0.5,4.5
"March 22-24, 2011 (Phone)",34.5,47.0,44.5,2.5,10.0,1.0,< 0.5,< 0.5,7.5
"March 19/20, 2011 (Face)",39.5,40.0,37.0,3.0,12.5,2.0,< 0.5,< 0.5,6.0
"March 16/17, 2011 (Phone)",35.5,42.5,39.5,3.0,12.0,1.5,< 0.5,< 0.5,8.5
"March 12/13, 2011 (Face)",38.0,44.5,40.0,4.5,11.5,1.5,< 0.5,< 0.5,4.5
"March 8-10, 2011 (Phone)",31.5,47.5,46.0,1.5,10.0,1.5,< 0.5,< 0.5,8.0
"February 26/27 & March 5/6, 2011 (Face) (TOTAL)",39.0,44.0,39.5,4.5,10.5,1.0,< 0.5,< 0.5,5.5
"March 5/6, 2011 (Face)",37.0,46.5,41.5,5.0,9.5,1.0,< 0.5,< 0.5,6.0
"February 26/27, 2011 (Face)",41.0,41.0,37.0,4.0,11.5,1.0,< 0.5,< 0.5,5.5
"February 12/13 & 19/20, 2011 (Face)",39.5,43.0,40.0,3.0,11.5,2.0,< 0.5,< 0.5,4.0
"February 21-23, 2011 (Phone)",36.0,45.5,42.0,3.5,9.5,1.5,< 0.5,< 0.5,7.5
"January 29/30 & February 5/6, 2011 (Face)",39.0,43.0,38.0,5.0,12.5,1.5,< 0.5,< 0.5,4.0
"February 1-3, 2011 (Phone)",35.0,42.5,41.0,1.5,12.0,3.0,< 0.5,< 0.5,7.5
"January 15/16 & 22/23, 2011 (Face)",40.5,41.5,37.5,4.0,11.5,2.0,< 0.5,< 0.5,4.5
"January 8/9, 2011 (Face)",38.5,44.0,38.5,5.5,13.0,1.5,< 0.5,< 0.5,3.0
"December 11/12, 2010 (Face)",38.0,43.0,38.0,5.0,13.5,1.5,< 0.5,< 0.5,4.0
